Phrase,Citations,Outliers,Text
Psal. 82. 6. 7. 6,Psalms 82.6; Psalms 82.7; Psalms 82.6,,"A VERIE PROFITABLE SERMON PREACHED BEFORE her Maiestie at the Court, about xiij. years since, by H. B. Psal. 82. 6. 7. 6"
Exod. 12. 12.,Exodus 12.12,,Exod. 12. 12.
Exod. 22. 28.,Exodus 22.28,,Exod. 22. 28.
Ioh. 10. 34.,John 10.34,,Ioh. 10. 34.
2. Para. 9. 8.,2 Paralipomenon 9.8,,2. Para. 9. 8.
Exod. 20. 12.,Exodus 20.12,,Exod. 20. 12.
Mat. 17. 27.,Matthew 17.27,,Mat. 17. 27.
Mat. 22. 21.,Matthew 22.21,,Mat. 22. 21.
Rom. 13. 1.,Romans 13.1,,Rom. 13. 1.
1. Pet. 2. 13.,1 Peter 2.13,,1. Pet. 2. 13.
Eccles. 10. 20,Ecclesiastes 10.20,,Eccles. 10. 20
Matt. 13. 15.,Matthew 13.15,,Matt. 13. 15.
Num. 23.,Numbers 23,,Num. 23.
1. Tim. 2. 1.,1 Timothy 2.1,,1. Tim. 2. 1.
Pro. 21. 1.,Proverbs 21.1,,Pro. 21. 1.
Psal. 72. 1.,Psalms 72.1,,Psal. 72. 1.
Matt. 21. 9.,Matthew 21.9,,Matt. 21. 9.
Exod. 22. 28.,Exodus 22.28,,Exod. 22. 28.
Psal. 115. 3.,Psalms 115.3,,Psal. 115. 3.
Psal. 29. 1.,Psalms 29.1,,Psal. 29. 1.
Rom. 1. 28.,Romans 1.28,,Rom. 1. 28.
Psal. 18. 7.,Psalms 18.7,,Psal. 18. 7.
Psal. 14. 1.,Psalms 14.1,,Psal. 14. 1.
Psalm. 75. 6.,Psalms 75.6,,Psalm. 75. 6.
Habac. 1. 16.,Habakkuk 1.16,,Habac. 1. 16.
Luc. 16. 19.,Luke 16.19,,Luc. 16. 19.
Luc. 12. 19.,Luke 12.19,,Luc. 12. 19.
Luc. 18. 4.,Luke 18.4,,Luc. 18. 4.
Act. 13. 8.,Acts 13.8,,Act. 13. 8.
2. Pat. 15. 12.,2 Peter 15.12,,2. Pat. 15. 12.
3. Reg. 16. 32.,Kings 16.32,,3. Reg. 16. 32.
Matt. 21. 3.,Matthew 21.3,,Matt. 21. 3.
Iudic. 16. 21.,Judith 16.21,,Iudic. 16. 21.
Psal. 33. 16.,Psalms 33.16,,Psal. 33. 16.
Psal. 118. 16.,Psalms 118.16,,Psal. 118. 16.
Gen. 11. 1.,Genesis 11.1,,Gen. 11. 1.
Iudith 1. 1.,Judith 1.1,,Iudith 1. 1.
Exod. 14. 28.,Exodus 14.28,,Exod. 14. 28.
Iudith 13. 4.,Judith 13.4,,Iudith 13. 4.
4. Reg. 2. 12.,Kings 2.12,,4. Reg. 2. 12.
3. Reg. 17. 3.,Kings 17.3,,3. Reg. 17. 3.
3. Reg. 18. 10,Kings 18.10,,3. Reg. 18. 10
3. Reg. 18. 10.,Kings 18.10,,3. Reg. 18. 10.
Gen. 1. 27.,Genesis 1.27,,Gen. 1. 27.
Gen. 2. 7.,Genesis 2.7,,Gen. 2. 7.
Gen. 3. 19.,Genesis 3.19,,Gen. 3. 19.
Gen. 18. 27.,Genesis 18.27,,Gen. 18. 27.
Esa. 40. 6.,Isaiah 40.6,,Esa. 40. 6.
Esa. 14. 11.,Isaiah 14.11,,Esa. 14. 11.
Ion. 4. 7.,Jonah 4.7,,Ion. 4. 7.
Esa. 39. 2.,Isaiah 39.2,,Esa. 39. 2.
Esa. 38. 1.,Isaiah 38.1,,Esa. 38. 1.
Dan. 5. 25.,Daniel 5.25,,Dan. 5. 25.
1. Cor. 15. 21.,1 Corinthians 15.21,,1. Cor. 15. 21.
Ioh. 11. 26.,John 11.26,,Ioh. 11. 26.
Psal. 117. 17.; Psal. 26. 13.,Psalms 117.17; Psalms 26.13,,Psal. 117. 17. Psal. 26. 13.
Iob. 19. 25.,Job 19.25,,Iob. 19. 25.
Matt. 9. 24.,Matthew 9.24,,Matt. 9. 24.
Iohn 11. 11.; 1. Cor. 15. 18.; 1. Thes. 4. 3.,John 11.11; 1 Corinthians 15.18; 1 Thessalonians 4.3,,Iohn 11. 11. 1. Cor. 15. 18. 1. Thes. 4. 3.
Act. 23. 23.,Acts 23.23,,Act. 23. 23.
Rom. 14. 10.,Romans 14.10,,Rom. 14. 10.
Luc. 16. 1.,Luke 16.1,,Luc. 16. 1.
Iob. 20. 27.,Job 20.27,,Iob. 20. 27.
Gen. 4. 3.,Genesis 4.3,,Gen. 4. 3.
Apoc. 6. 16.,Revelation 6.16,,Apoc. 6. 16.
Esa. 2. 19.,Isaiah 2.19,,Esa. 2. 19.
Rom. 12.6.7.,Romans 12.6; Romans 12.7,,"Honor Widowes whiche are widowes indeed. The Apostle saith, Rom. 12.6.7."
1. Cor. Cap. 12.28.,1 Corinthians 12.28,,"Seing then that when we haue gifte, &c. And agayne in Epist. 1. Cor. Cap. 12.28."
Eze. 3.,Ezekiel 3,,Eze. 3.
Abac. 1.; Act. 13.,Habakkuk 1; Acts 13,,Abac. 1. Act. 13.
Gene. 3.,Genesis 3,,Gene. 3.
Gene. 18.,Genesis 18,,Gene. 18.
Psal. 38.,Psalms 38,,Psal. 38.
Iob. 14.,Job 14,,Iob. 14.
Psal. 145.,Psalms 145,,Psal. 145.
Rom. 11.,Romans 11,,Rom. 11.
Psal. 47.; Psal. 144.,Psalms 47; Psalms 144,,Psal. 47. Psal. 144.
Col. 2.,Colossians 2,,Col. 2.
Iohn. 1.,John 1,,Iohn. 1.
Iudith. 4.,Judith 4,,Iudith. 4.
1. Peter. 2,1 Peter 2,,1. Peter. 2 ▪
Heb. 4,Hebrews 4,,Heb. 4 ▪
Psal. 43.,Psalms 43,,Psal. 43.
Iere. 3.,Jeremiah 3,,Iere. 3.
Luke. 2.,Luke 2,,Luke. 2.
Math. 27,Matthew 27,,Math. 27
Math. 27.,Matthew 27,,Math. 27.
Rom. 5.,Romans 5,,Rom. 5.
