Phrase,Citations,Outliers,Text
Lev. 26. 4•.,Leviticus 26,['Leviticus 26.4•'],Hence the Lord promises Covenant good to those that doe reform their evill wayes. Lev. 26. 4•. If their uncircumcised hearts be humbled &c.
Psal. 143.; Psal. 119. 13•.,Psalms 143; Psalms 119,['Psalms 119.13•'],"Therefore (saith David) I said I would take heed to my wayes that I sin not with my Tongue, Psal. 143. But he begs that God would keep the door of his lips, & establish his saying, I said, through the grace of God that I would do my duty, & be waiting upon God for his help, Psal. 119. 13•. I will run the wayes of thy Commandments, when thou shalt enlarge my heart."
Joh. 10. 1•.,John 10,['John 10.1•'],Joh. 10. 1•.
Rom 3. ◊,Romans 3,['Romans 3.◊'],"Tea and particular provincial Councels, though Bellarmine names many for my turn. Conc. Rom. 1. & 2um. (which was justified also they say in Com. Tribur. Quint. Ost•ens. Claramont Rom. 7. & 10.) 〈 ◊ 〉 Rom 3. 〈 ◊ 〉 Rhem••s. Claramont. And he names more Popes."
Act. 11. 22. &; Gal. 1. 1•.,Acts 11.22; Galatians 1,['Galatians 1.1•'],"Barn•bas sent by the Church of Jerusalem to Antioch, Act. 11. 22. and Paul not onely separated from his Mothers womb, Gal. 1. 1•. but chosen by express Revelation, and by the laying on of Anan•at hands that so he might receive the Holy Ghost, qualified to preach the Gospel to the Gentiles and to Kings."
Deut. 33. 2•.,Deuteronomy 33,['Deuteronomy 33.2•'],Deut. 33. 2•.
"Deut. 33. •.; Exod. 3•. 1, 5.",Deuteronomy 33; Exodus 3•.1; Exodus 3•.5,['Deuteronomy 33.•'],"R. Simeon the son of Iochai said, and R. Simeon the son of Menasiah said, Deut. 33. •. Exod. 3•. 1, 5."
Iudg. 3. 7. & ver. 12. Ch. •.; 1 Kings 16. 26. Ch. 2•. 22. & 22. 52. &c.,Judges 3.7; 1 Kings 22.52,['Judges 12.•']; ['1 Kings 16.26.2•.22'],Iudg. 3. 7. & ver. 12. Ch. •. 1. Ch. 6. 1. Ch. 10. 6. Ch 13. 1. • 1 Kings 16. 26. Ch. 2•. 22. & 22. 52. &c.
Acts 1. 9.; Luc. 24. 5•.,Acts 1.9; Luke 24,['Luke 24.5•'],Acts 1. 9. Luc. 24. 5•.
Psal. Cxxix. 3•.,Psalms 129,['Psalms 129 3•'],Psal. Cxxix. 3•.
