Text,Index,Phrase,Citations
"Matth 11.23. Ch. 23.15.33. The Hebrew word Sh•ol hath several significations; Sometimes it signifies the grave, sometimes it signifies extraordinary great anguishes and distresses; and sometimes it signifies hell or the place of the damned, as here, and as in Job 11.8. & Prov. 15. 1•.",125,Matth 11.23. Ch. 23.15.33.,Matthew 11.23; Matthew 11.23; Matthew 11.15; Matthew 11.33
,125,Job 11.8.,Job 11.8
,125,Prov. 15. 1•.,Proverbs 15.1•
"And this you may see in those Pagans, Jonah 1. •. The Marriners cryed every man to his god.",126,Jonah 1. •.,Jonah 1.•
"Heb. 6.7, •.",127,"Heb. 6.7, •.",Hebrews 6.•
Joh. 16. 1•.,128,Joh. 16. 1•.,John 16.1•
Psal. 123 ▪ •.,129,Psal. 123 •.,Psalms 123 •
1 Joh. 5. •.,130,1 Joh. 5. •.,1 John 5.•
Psal 119 3•.,131,Psal 119 3•.,Psalms 119 3•
"John 14. 4, •.",132,"John 14. 4, •.",John 14.•
Esay 60. 1•.,133,Esay 60. 1•.,Isaiah 60.1•
Rom. 9. 1•.,134,Rom. 9. 1•.,Romans 9.1•
Mat. 18. 1•.,135,Mat. 18. 1•.,Matthew 18.1•
"Phil. 2, 6 - ▪ 9.",136,"Phil. 2, 6 - 9.",Philippians 2; Philippians 6; Philippians 7; Philippians 8; Philippians 9
Psal. 80 •.,137,Psal. 80 •.,Psalms 80 •
"Psal. 63. 3. Remission of sins, Mat. 9. •. Co-operation of all things for their good ▪ Rom. 8. 28.",138,Psal. 63. 3.,Psalms 63.3
,138,Mat. 9. •.,Matthew 9.•
,138,Rom. 8. 28.,Romans 8.28
Luk. 14. 2•.,139,Luk. 14. 2•.,Luke 14.2•
Psal. 119. 1•3. Psal. 26.45.,140,Psal. 119. 1•3.,Psalms 119.1•3; Psalms 26.45
,140,Psal. 26.45.,
Luk. 10. 3• …,141,Luk. 10. 3•,Luke 10.3•
Isa. 36. • Rabshakeh bolsters up himself a confidence that God was w• him: and why? forsooth t•• had all along been so prosper• and successful.,142,Isa. 36. •,Isaiah 36.•
"the measure the• of is longer than the earth, a• deeper than the sea, Job 11. 8, • The Lord would teach his peop•• from the plenty of outwa•• Mercies the wicked do enjo• to look for other evidences 〈 ◊ 〉 his love;",143,"Job 11. 8, •",Job 11.•
Si evellat Deus animam ejus; Job. 27. •. Luk 12.20.,144,Job. 27. •.,Job 27.•
,144,Luk 12.20.,Luke 12.20
"This Generation the Prophet •arkes out, and reproves. Isa. 55. •. Wherefore (saies he) do you •pend money for that which is not •read?",145,Isa. 55. •.,Isaiah 55.•
"Math 10 2•. B King, on Jonas, Lect. 29.",146,Math 10 2•.,Matthew 10 2•
Math 10. 4•.,147,Math 10. 4•.,Matthew 10.4•
Mark 10. 3•.,148,Mark 10. 3•.,Mark 10.3•
Revel 6. 1•,149,Revel 6. 1•,Revelation 6.1•
Tract. de Justificat. Z. Vid. f•n. post Judicium Cassandi E•ul. in Apocap. •5. Serm. 〈 ◊ 〉 7 Col. Ep. 104 •. Survey of the pretended holy Discip. &c. R. Hook.,150,Ep. 104 •.,Epistle 104 •
"Prov. 19. 7, 4• . Eurip.",151,"Prov. 19. 7, 4•",Proverbs 19.4•
Ecclus. 3. 〈 ◊ 〉,152,Ecclus. 3. ◊,Ecclesiasticus 3.◊
Mat. 6. 2•.,153,Mat. 6. 2•.,Matthew 6.2•
Galat. 5. 2•.,154,Galat. 5. 2•.,Galatians 5.2•
"Luk. 15. 7, 〈 ◊ 〉",155,"Luk. 15. 7, ◊",Luke 15.◊
2 Thess. 3. •.,156,2 Thess. 3. •.,2 Thessalonians 3.•
Eph. 5. 2•.,157,Eph. 5. 2•.,Ephesians 5.2•
1 Pet. 3. •.,158,1 Pet. 3. •.,1 Peter 3.•
Job 37 22. — & 13. 11. Psal. 52. 6. & 68. 35. Dan. 6. 26. Isa. 59. 17.,159,Job 37 22. — & 13. 11.,Job 13.11
,159,Psal. 52. 6. & 68. 35.,Psalms 52.6; Psalms 68.35
,159,Dan. 6. 26.,Daniel 6.26
,159,Isa. 59. 17.,Isaiah 59.17
