,text_idx,verse_id,lang,rank,sim_score,cross_score,text,verse_text
0,6100016,Isaiah 44.4 (AKJV),English,0,0.916273832321167,0.98752403,"they shall spring up as among the grass, as willows by the water courses.","Isaiah 44.4: And they shall spring vp as among the grasse, as willowes by the water courses."
1,6100016,Isaiah 44.4 (Geneva),English,1,0.8822888135910034,0.58594704,"they shall spring up as among the grass, as willows by the water courses.","Isaiah 44.4: And they shall grow as among the grasse, and as the willowes by the riuers of waters."
2,6100017,Isaiah 44.5 (AKJV),English,0,0.8361526727676392,0.9917601,"one shall say, i am the lords; and another shall call himself by the name of jacob;","Isaiah 44.5: One shall say, I am the Lords: and another shall call himselfe by the name of Iacob: and another shall subscribe with his hand vnto the Lord, and surname himselfe by the name of Israel."
3,6100017,Isaiah 44.5 (Geneva),English,1,0.7736947536468506,0.9838215,"one shall say, i am the lords; and another shall call himself by the name of jacob;","Isaiah 44.5: One shall say, I am the Lordes: another shalbe called by the name of Iaakob: and another shall subscribe with his hand vnto the Lord, and name himselfe by the name of Israel."
4,6100017,Isaiah 44.5 (Douay-Rheims),English,2,0.8178420662879944,0.9835577,"one shall say, i am the lords; and another shall call himself by the name of jacob;","Isaiah 44.5: One shall say: I am the Lord's, and another shall call himself by the name of Jacob, and another shall subscribe with his hand, To the Lord, and surname himself by the name of Israel."
5,6100018,Isaiah 44.5 (AKJV),English,0,0.7580373883247375,0.94294286,"and another shall subscribe with his hand unto the lord, and sirname himself by the name of israel.","Isaiah 44.5: One shall say, I am the Lords: and another shall call himselfe by the name of Iacob: and another shall subscribe with his hand vnto the Lord, and surname himselfe by the name of Israel."
6,6100018,Isaiah 44.5 (Geneva),English,1,0.7562823295593262,0.7974145,"and another shall subscribe with his hand unto the lord, and sirname himself by the name of israel.","Isaiah 44.5: One shall say, I am the Lordes: another shalbe called by the name of Iaakob: and another shall subscribe with his hand vnto the Lord, and name himselfe by the name of Israel."
7,6100018,Isaiah 44.5 (Douay-Rheims),English,2,0.7654402256011963,0.7460074,"and another shall subscribe with his hand unto the lord, and sirname himself by the name of israel.","Isaiah 44.5: One shall say: I am the Lord's, and another shall call himself by the name of Jacob, and another shall subscribe with his hand, To the Lord, and surname himself by the name of Israel."
8,6100040,Matthew 19.19 (AKJV),English,0,0.6716468334197998,0.9334252,you must equally love your mothers and fathers.,"Matthew 19.19: Honour thy father and thy mother: and, Thou shalt loue thy neighbour as thy selfe."
9,6100040,Matthew 19.19 (ODRV),English,1,0.6722925901412964,0.91501564,you must equally love your mothers and fathers.,"Matthew 19.19: Honour thy father & thy mother, Thou shalt loue thy neighbour as thyself."
10,6100040,Matthew 19.19 (Geneva),English,2,0.6719081401824951,0.89616793,you must equally love your mothers and fathers.,Matthew 19.19: Honour thy father and mother: and thou shalt loue thy neighbour as thy selfe.
11,6100040,Matthew 19.19 (Tyndale),English,3,0.6883845925331116,0.7663487,you must equally love your mothers and fathers.,Matthew 19.19: honoure father and mother: and love thyne neighbour as thy sylfe.
12,6100040,Ephesians 6.1 (AKJV),English,4,0.6562715172767639,0.6536292,you must equally love your mothers and fathers.,"Ephesians 6.1: Children, obey your parents in the Lord: for this is right."
13,6100040,Ephesians 6.1 (Geneva),English,5,0.6562715172767639,0.6536292,you must equally love your mothers and fathers.,"Ephesians 6.1: Children, obey your parents in the Lord: for this is right."
14,6100048,Proverbs 23.22 (AKJV),English,0,0.7118409872055054,0.85724115,"your father must not be despised when poor, nor your mother when she is old, prov. 23.22.","Proverbs 23.22: Hearken vnto thy father that begate thee, and despise not thy mother when she is old."
15,6100053,Ephesians 6.1 (AKJV),English,0,0.7165039777755737,0.52269137,nature and justice give parents the preheminence. 2. honour your parents most highly.,"Ephesians 6.1: Children, obey your parents in the Lord: for this is right."
16,6100053,Ephesians 6.1 (Geneva),English,1,0.7165039777755737,0.52269137,nature and justice give parents the preheminence. 2. honour your parents most highly.,"Ephesians 6.1: Children, obey your parents in the Lord: for this is right."
17,6100067,Colossians 3.20 (AKJV),English,0,0.677170991897583,0.94741815,3. obey your parents most absolutely.,"Colossians 3.20: Children, obey your parents in all things, for this is well pleasing vnto the Lord."
18,6100067,Colossians 3.20 (Geneva),English,1,0.6708534359931946,0.93319154,3. obey your parents most absolutely.,"Colossians 3.20: Children, obey your parents in all thing for that is well pleasing vnto the Lord."
19,6100067,Colossians 3.20 (ODRV),English,2,0.6775261759757996,0.87517184,3. obey your parents most absolutely.,Colossians 3.20: Children obey your parents in al things: for that is wel pleasing to our Lord.
20,6100067,Ephesians 6.1 (AKJV),English,3,0.775501549243927,0.87117404,3. obey your parents most absolutely.,"Ephesians 6.1: Children, obey your parents in the Lord: for this is right."
21,6100067,Ephesians 6.1 (Geneva),English,4,0.775501549243927,0.87117404,3. obey your parents most absolutely.,"Ephesians 6.1: Children, obey your parents in the Lord: for this is right."
22,6100067,Colossians 3.20 (Vulgate),Latin,5,0.6857026815414429,0.740942,3. obey your parents most absolutely.,"Colossians 3.20: Filii, obedite parentibus per omnia: hoc enim placitum est in Domino."
23,6100067,Ephesians 6.1 (ODRV),English,6,0.7205275297164917,0.50538474,3. obey your parents most absolutely.,"Ephesians 6.1: CHILDREN, obey your parents in our Lord. For this is iust."
24,6100071,Colossians 3.20 (AKJV),English,0,0.9464555978775024,0.99402195,"children obey your parents in all things, for this is well-pleasing unto the lord.","Colossians 3.20: Children, obey your parents in all things, for this is well pleasing vnto the Lord."
25,6100071,Colossians 3.20 (Geneva),English,1,0.9349660277366638,0.99202603,"children obey your parents in all things, for this is well-pleasing unto the lord.","Colossians 3.20: Children, obey your parents in all thing for that is well pleasing vnto the Lord."
26,6100071,Colossians 3.20 (ODRV),English,2,0.9291013479232788,0.9918846,"children obey your parents in all things, for this is well-pleasing unto the lord.",Colossians 3.20: Children obey your parents in al things: for that is wel pleasing to our Lord.
27,6100071,Colossians 3.20 (Tyndale),English,3,0.9034224152565002,0.9776419,"children obey your parents in all things, for this is well-pleasing unto the lord.",Colossians 3.20: Children obey youre fathers and mothers in all thinges for that is wel pleasynge vnto the lorde.
28,6100074,Hebrews 11.17 (ODRV),English,0,0.6585985422134399,0.7136495,"how wonderoufly yielded isaac to abraham, see gen. 22.9.10.","Hebrews 11.17: By faith, Abraham offered Isaac, when he was tempted: and his onlie-begotten did he offer who had receiued the promises:"
29,6100079,1 Timothy 5.4 (AKJV),English,0,0.80739426612854,0.85342693,"let them learn with piety at home, to requite their parents: for that is good and acceptable toward god.","1 Timothy 5.4: But if any widow haue children or nephewes, let them learne first to shew pietie at home, and to requite their parents: for that is good and acceptable before God."
30,6100086,Philippians 2.22 (ODRV),English,0,0.6591807007789612,0.96238625,as a son with the father hath he served with me.,"Philippians 2.22: And know ye an experiment of him, that as a sonne the Father, so hath he serued with me in the Ghospel."
31,6100119,Proverbs 17.6 (Geneva),English,0,0.7662914395332336,0.8404725,"then you may be called, the crown and honour of your fathers, as prov. 17.6. and their very glory, as it is hos. 9.11.",Proverbs 17.6: Childres children are the crowne of the elders: and the glory of ye children are their fathers.
32,6100119,Proverbs 17.6 (Vulgate),Latin,1,0.7009144425392151,0.80612487,"then you may be called, the crown and honour of your fathers, as prov. 17.6. and their very glory, as it is hos. 9.11.","Proverbs 17.6: Corona senum filii filiorum, et gloria filiorum patres eorum."
33,6100119,Proverbs 17.6 (Douay-Rheims),English,2,0.7031509280204773,0.65296096,"then you may be called, the crown and honour of your fathers, as prov. 17.6. and their very glory, as it is hos. 9.11.",Proverbs 17.6: Children's children are the crown of old men: and the glory of children are their fathers.
34,6100119,Proverbs 17.6 (AKJV),English,3,0.7143212556838989,0.6105413,"then you may be called, the crown and honour of your fathers, as prov. 17.6. and their very glory, as it is hos. 9.11.",Proverbs 17.6: Childrens children are the crowne of old men: and the glory of children are their fathers.
