,text_idx,verse_id,lang,rank,sim_score,cross_score,text,verse_text
0,200028,Psalms 2.10 (Vulgate),Latin,0,0.9346551299095154,0.99715364,"et nunc reges, intelligite: erudimini, qui judicatis terram. psa. 2.10. si judicas, cognosce. sen. in med. act. 2. . phocylid.","Psalms 2.10: Et nunc, reges, intelligite; erudimini, qui judicatis terram."
1,200028,Psalms 2.10 (ODRV),English,1,0.8892671465873718,0.99642485,"et nunc reges, intelligite: erudimini, qui judicatis terram. psa. 2.10. si judicas, cognosce. sen. in med. act. 2. . phocylid.",Psalms 2.10: And now ye kings vnderstand: take instruction you that iudge the earth.
2,200028,Psalms 2.10 (AKJV),English,2,0.8301861882209778,0.95489943,"et nunc reges, intelligite: erudimini, qui judicatis terram. psa. 2.10. si judicas, cognosce. sen. in med. act. 2. . phocylid.","Psalms 2.10: Bee wise now therefore, O yee Kings: be instructed ye Iudges of the earth."
3,200028,Wisdom 6.2 (Vulgate),Latin,3,0.8348786234855652,0.4634849,"et nunc reges, intelligite: erudimini, qui judicatis terram. psa. 2.10. si judicas, cognosce. sen. in med. act. 2. . phocylid.","Wisdom 6.2: Audite ergo, reges, et intelligite; discite, judices finium terrae."
4,200030,1 Corinthians 4.4 (Geneva),English,0,0.6716442704200745,0.9873203,"jer. 17.9. i know nothing by my self, yet am i not hereby justified: but he that judgeth me is the lord, 1 corinthians 4 4. if our heart condemn us, god is greater than our heart, and knoweth all things, 1 iohn 3.21. latet m* facultas mea, quae in me est; ut animus meus de viribus suis ipse se interrog tus, non facile sibi credendum existimet, quia & quod inest ple*umque occultum est. aug. lib. 10. confess. c. 32.","1 Corinthians 4.4: For I know nothing by my selfe, yet am I not thereby iustified: but he that iudgeth me, is the Lord."
5,200030,1 Corinthians 4.4 (AKJV),English,1,0.6784761548042297,0.98711085,"jer. 17.9. i know nothing by my self, yet am i not hereby justified: but he that judgeth me is the lord, 1 corinthians 4 4. if our heart condemn us, god is greater than our heart, and knoweth all things, 1 iohn 3.21. latet m* facultas mea, quae in me est; ut animus meus de viribus suis ipse se interrog tus, non facile sibi credendum existimet, quia & quod inest ple*umque occultum est. aug. lib. 10. confess. c. 32.","1 Corinthians 4.4: For I know nothing by my selfe, yet am I not hereby iustified: but hee that iudgeth me is the Lord."
6,200030,1 John 3.20 (Geneva),English,2,0.6983808875083923,0.98707134,"jer. 17.9. i know nothing by my self, yet am i not hereby justified: but he that judgeth me is the lord, 1 corinthians 4 4. if our heart condemn us, god is greater than our heart, and knoweth all things, 1 iohn 3.21. latet m* facultas mea, quae in me est; ut animus meus de viribus suis ipse se interrog tus, non facile sibi credendum existimet, quia & quod inest ple*umque occultum est. aug. lib. 10. confess. c. 32.","1 John 3.20: For if our heart condemne vs, God is greater then our heart, and knoweth all things."
7,200030,1 John 3.20 (AKJV),English,3,0.6983808875083923,0.98707134,"jer. 17.9. i know nothing by my self, yet am i not hereby justified: but he that judgeth me is the lord, 1 corinthians 4 4. if our heart condemn us, god is greater than our heart, and knoweth all things, 1 iohn 3.21. latet m* facultas mea, quae in me est; ut animus meus de viribus suis ipse se interrog tus, non facile sibi credendum existimet, quia & quod inest ple*umque occultum est. aug. lib. 10. confess. c. 32.","1 John 3.20: For if our heart condemne vs, God is greater then our heart, and knoweth all things."
8,200049,Colossians 2.21 (ODRV),English,0,0.9224132299423218,0.9946731,"like that col. 2.21. touch not, taste not, handle not.","Colossians 2.21: Touch not, tast not, handle not:"
9,200049,Colossians 2.21 (Geneva),English,1,0.9485676884651184,0.99446976,"like that col. 2.21. touch not, taste not, handle not.","Colossians 2.21: As, Touch not, Taste not, Handle not."
