verse_id,text,verse_text,prediction,DS_prediction,match,correction,length_disparity
Acts 2.30 (AKJV),"I conclude then, that if mans righteousnesse be strictly examined in the balance of the Law, there never was, and there is not a iust man upon earth, that doth good, and sinneth not, saving our Lord Iesus Christ, who through the prerogative of his immaculate conception, by the wonderfull operation of the holy Spirit, was in the likenesse of sinfull flesh, holy, harmelesse, undefiled, & separate from sinners:","Therefore being a Prophet, and knowing that God had sworne with an oath to him, that of the fruit of his loines, according to the flesh, hee would raise vp Christ, to sit on his throne:",TRUE,FALSE,FALSE,FALSE,FALSE
Esther 4.11 (AKJV),"I conclude then, that if mans righteousnesse be strictly examined in the balance of the Law, there never was, and there is not a iust man upon earth, that doth good, and sinneth not, saving our Lord Iesus Christ, who through the prerogative of his immaculate conception, by the wonderfull operation of the holy Spirit, was in the likenesse of sinfull flesh, holy, harmelesse, undefiled, & separate from sinners:","All the Kings seruants, and the people of the kings prouinces do know, that whosoeuer, whether man or woman, shall come vnto the King into the inner court, who is not called, there is one lawe of his to put him to death, except such to whom the King shall hold out the golden scepter, that he may liue: but I haue not beene called to come in vnto the King, these thirtie dayes.",TRUE,FALSE,FALSE,FALSE,FALSE
Hebrews 10.29 (ODRV),"I conclude then, that if mans righteousnesse be strictly examined in the balance of the Law, there never was, and there is not a iust man upon earth, that doth good, and sinneth not, saving our Lord Iesus Christ, who through the prerogative of his immaculate conception, by the wonderfull operation of the holy Spirit, was in the likenesse of sinfull flesh, holy, harmelesse, undefiled, & separate from sinners:","How much more thinke you, doth he deserue worse punishements which hath troden the Sonne of God vnder-foot, and esteemed the bloud of the Testament polluted, wherein he is sanctified, and hath done contumelie to the Spirit of grace?",TRUE,FALSE,FALSE,FALSE,FALSE
Wisdom 13.1 (AKJV),"I conclude then, that if mans righteousnesse be strictly examined in the balance of the Law, there never was, and there is not a iust man upon earth, that doth good, and sinneth not, saving our Lord Iesus Christ, who through the prerogative of his immaculate conception, by the wonderfull operation of the holy Spirit, was in the likenesse of sinfull flesh, holy, harmelesse, undefiled, & separate from sinners:","Surely vaine are all men by nature, who are ignorant of God, and could not out of the good things that are seene, know him that is: neither by considering the workes, did they acknowledge the worke-master;",TRUE,FALSE,FALSE,FALSE,FALSE
Ecclesiasticus 1.1 (AKJV) - 3,"I conclude then, that if mans righteousnesse be strictly examined in the balance of the Law, there never was, and there is not a iust man upon earth, that doth good, and sinneth not, saving our Lord Iesus Christ, who through the prerogative of his immaculate conception, by the wonderfull operation of the holy Spirit, was in the likenesse of sinfull flesh, holy, harmelesse, undefiled, & separate from sinners:","When as therefore the first Iesus died, leauing this booke almost perfected, Si rach his sonne receiuing it after him, left it to his owne sonne Iesus, who hauing gotten it into his hands, compiled it all orderly into one Volume, and called it Wisdome, Intituling it, both by his owne name, his fathers name, and his grandfathers, alluring the hearer by the very name of Wisedome, to haue a greater loue to the studie of this Booke.",TRUE,FALSE,FALSE,FALSE,FALSE
Matthew 1.18 (Geneva),"I conclude then, that if mans righteousnesse be strictly examined in the balance of the Law, there never was, and there is not a iust man upon earth, that doth good, and sinneth not, saving our Lord Iesus Christ, who through the prerogative of his immaculate conception, by the wonderfull operation of the holy Spirit, was in the likenesse of sinfull flesh, holy, harmelesse, undefiled, & separate from sinners:","Nowe the birth of Jesus Christ was thus, When as his mother Mary was betrothed to Ioseph, before they came together, shee was found with childe of the holy Ghost.",FALSE,FALSE,TRUE,FALSE,FALSE
Judges 16.17 (Douay-Rheims),"I conclude then, that if mans righteousnesse be strictly examined in the balance of the Law, there never was, and there is not a iust man upon earth, that doth good, and sinneth not, saving our Lord Iesus Christ, who through the prerogative of his immaculate conception, by the wonderfull operation of the holy Spirit, was in the likenesse of sinfull flesh, holy, harmelesse, undefiled, & separate from sinners:","Then opening the truth of the thing, he said to her: The razor hath never come upon my head, for I am a Nazarite, that is to say, consecrated to God from my mother's womb: if my head be shaven, my strength shall depart from me, and I shall become weak, and shall be like other men.",FALSE,FALSE,TRUE,FALSE,FALSE
2 Maccabees 3.24 (AKJV),"I conclude then, that if mans righteousnesse be strictly examined in the balance of the Law, there never was, and there is not a iust man upon earth, that doth good, and sinneth not, saving our Lord Iesus Christ, who through the prerogative of his immaculate conception, by the wonderfull operation of the holy Spirit, was in the likenesse of sinfull flesh, holy, harmelesse, undefiled, & separate from sinners:","Now as hee was there present himselfe with his guard about the treasurie, the Lord of spirits, & the Prince of all power caused a great apparition, so that all that presumed to come in with him, were astonished at the power of God, and fainted, and were sore afraid.",FALSE,FALSE,TRUE,FALSE,FALSE
2 Esdras 7.62 (AKJV),"I conclude then, that if mans righteousnesse be strictly examined in the balance of the Law, there never was, and there is not a iust man upon earth, that doth good, and sinneth not, saving our Lord Iesus Christ, who through the prerogative of his immaculate conception, by the wonderfull operation of the holy Spirit, was in the likenesse of sinfull flesh, holy, harmelesse, undefiled, & separate from sinners:","I answered then and saide, I know, Lord, that the most Hie is called mercifull, in that he hath mercy vpon them, which are not yet come into the world,",FALSE,FALSE,TRUE,FALSE,FALSE
Acts 2.30 (Geneva),"I conclude then, that if mans righteousnesse be strictly examined in the balance of the Law, there never was, and there is not a iust man upon earth, that doth good, and sinneth not, saving our Lord Iesus Christ, who through the prerogative of his immaculate conception, by the wonderfull operation of the holy Spirit, was in the likenesse of sinfull flesh, holy, harmelesse, undefiled, & separate from sinners:","Therefore, seeing hee was a Prophet, and knewe that God had sworne with an othe to him, that of the fruite of his loynes hee woulde raise vp Christ concerning the flesh, to set him vpon his throne,",FALSE,FALSE,TRUE,FALSE,FALSE
2 Maccabees 4.40 (AKJV),"And how fearfull the very indeavoring to shake off these Burthens, (though too heavie to beare) hath proved, may appeare by that instance never to be imitated, of that people in Rehoboams time, where the attempt to free their bodies and states from Soveraigne Invasion, captivated their soules under Idolatrous Superstition, 1 Reg. 12.16.26. 33.","Whereupon the common people rising, and being filled with rage, Lysimachus armed about three thousand men, and beganne first to offer violence on Auranus, being the leader, a man farre gone in yeeres, & no lesse in folly.",FALSE,FALSE,TRUE,FALSE,FALSE
Ecclesiasticus 12.11 (AKJV),"And how fearfull the very indeavoring to shake off these Burthens, (though too heavie to beare) hath proved, may appeare by that instance never to be imitated, of that people in Rehoboams time, where the attempt to free their bodies and states from Soveraigne Invasion, captivated their soules under Idolatrous Superstition, 1 Reg. 12.16.26. 33.","Though he humble himselfe, and goe crouching, yet take good heed, and beware of him, and thou shalt bee vnto him, as if thou hadst wiped a looking glasse, and thou shalt knowe that his rust hath not beene altogether wiped away.",FALSE,FALSE,TRUE,FALSE,FALSE
Wisdom 5.11 (AKJV),"And how fearfull the very indeavoring to shake off these Burthens, (though too heavie to beare) hath proved, may appeare by that instance never to be imitated, of that people in Rehoboams time, where the attempt to free their bodies and states from Soveraigne Invasion, captivated their soules under Idolatrous Superstition, 1 Reg. 12.16.26. 33.","Or as when a bird hath flowen thorow the aire, there is no token of her way to be found, but the light aire being beaten with the stroke of her wings, and parted with the violent noise and motion of them, is passed thorow, and therin afterwards no signe where she went, is to be found.",FALSE,FALSE,TRUE,FALSE,FALSE
2 Maccabees 12.22 (AKJV),"And how fearfull the very indeavoring to shake off these Burthens, (though too heavie to beare) hath proved, may appeare by that instance never to be imitated, of that people in Rehoboams time, where the attempt to free their bodies and states from Soveraigne Invasion, captivated their soules under Idolatrous Superstition, 1 Reg. 12.16.26. 33.","But when Iudas his first band came in sight, the enemies (being smitten with feare, and terrour through the appearing of him that seeth all things) fled amaine, one running this way, another that way, so as that they were often hurt of their owne men, and wounded with &thorn; points of their owne swords",FALSE,FALSE,TRUE,FALSE,FALSE
2 Maccabees 12.42 (AKJV),"And how fearfull the very indeavoring to shake off these Burthens, (though too heavie to beare) hath proved, may appeare by that instance never to be imitated, of that people in Rehoboams time, where the attempt to free their bodies and states from Soveraigne Invasion, captivated their soules under Idolatrous Superstition, 1 Reg. 12.16.26. 33.","Betooke themselues vnto praier, and besought him that the sinne committed, might wholy bee put out of remembrance. Besides, that noble Iudas exhorted the people to keep themselues from sinne, forsomuch as they saw before their eyes the things that came to passe, for the sinne of those &thorn; were slaine.",FALSE,FALSE,TRUE,FALSE,FALSE
2 Maccabees 5.18 (AKJV),"And how fearfull the very indeavoring to shake off these Burthens, (though too heavie to beare) hath proved, may appeare by that instance never to be imitated, of that people in Rehoboams time, where the attempt to free their bodies and states from Soveraigne Invasion, captivated their soules under Idolatrous Superstition, 1 Reg. 12.16.26. 33.","For had they not beene formerly wrapped in many sinnes, this man as soone as hee had come, had foorthwith beene scourged, and put backe from his presumption, as Heliodorus was, whom Seleucus the king sent to view the treasurie.",FALSE,FALSE,TRUE,FALSE,FALSE
Wisdom 16.9 (ODRV),"And how fearfull the very indeavoring to shake off these Burthens, (though too heavie to beare) hath proved, may appeare by that instance never to be imitated, of that people in Rehoboams time, where the attempt to free their bodies and states from Soveraigne Invasion, captivated their soules under Idolatrous Superstition, 1 Reg. 12.16.26. 33.","For the bitings of locusts, and flies killed them, and there was found no remedie for their life: because they were worthie to be destroyed by such thinges.",FALSE,FALSE,TRUE,FALSE,FALSE
Wisdom 14.21 (AKJV),"And how fearfull the very indeavoring to shake off these Burthens, (though too heavie to beare) hath proved, may appeare by that instance never to be imitated, of that people in Rehoboams time, where the attempt to free their bodies and states from Soveraigne Invasion, captivated their soules under Idolatrous Superstition, 1 Reg. 12.16.26. 33.","And this was an occasion to deceiue the world: for men seruing either calamitie or tyrannie, did ascribe vnto stones, and stockes, the incommunicable Name.",FALSE,FALSE,TRUE,FALSE,FALSE
