verse_id,score,text,verse_text,prediction,correction
Canticles 8.6 (Vulgate) - 1,0.7290933132,Ephesians 3.14 15 16 17 18 19 20 21,lampades ejus lampades ignis atque flammarum.,FALSE,C_Only
Matthew 25.17 (Tyndale),0.7764745951,Colos 1.18: 19.20 21.22.23,Lykwyse he that receaved .ii. gayned other .ii.,FALSE,C_Only
1 Chronicles 9.24 (Douay-Rheims) - 1,0.7771892548,"Rom. 4. 18, 19, 20, 21, 22, 23, 24, 25.","that is to say, toward the east, and west, and north, and south.",FALSE,C_Only
Ephesians 5.9 (AKJV),0.7789852023,Rom: 1: 16: 17 2 Cor: 3: 18:,(For the fruite of the spirit is in all goodnesse and righteousnesse & trueth.),FALSE,C_Only
2 Esdras 1.39 (AKJV),0.7796894908,"Hebrew 2.2, 3, 4. & 10.26, 29. & 7.19. & 9.19. & 9.22. & 10.1, — 6, 7.","Unto whom I will giue for leaders, Abraham, Isaac, and Iacob, Oseas, Amos, and Micheas, Ioel, Abdias, and Ionas,",FALSE,C_Only
Hosea 1.1 (Vulgate) - 0,0.7805293798,"Numb. 28. 10, 15, 23, 24, 31. & 29, 6, 11, 16, 19, 22, 25, 28, 31, 34, 38.","Verbum Domini, quod factum est ad Osee, filium Beeri, in diebus Oziae, Joathan, Achaz, Ezechiae, regum Juda;",FALSE,C_Only
Hosea 1.1 (Vulgate) - 0,0.7809010744,"Jer. 18.11, 12, 13, 14, 15, 16, 17, 18, 19, 20.","Verbum Domini, quod factum est ad Osee, filium Beeri, in diebus Oziae, Joathan, Achaz, Ezechiae, regum Juda;",FALSE,C_Only
2 Esdras 1.39 (AKJV),0.7818394899,"Hebrew 10.5, 6, 7, 8, 9, 10. Psalm 40.8, 9, 10. Isaiah 58.10, 11, 12. & 42.6, 7, 8, 9. & 49.5, 6, 7, 8, 9.","Unto whom I will giue for leaders, Abraham, Isaac, and Iacob, Oseas, Amos, and Micheas, Ioel, Abdias, and Ionas,",FALSE,C_Only
1 Chronicles 26.11 (Vulgate) - 0,0.7823132277,Titus 3: 2: 3: 4: 5:,"Helcias secundus, Tabelias tertius, Zacharias quartus:",FALSE,C_Only
2 Esdras 1.39 (AKJV),0.7825958729,"Isaiah 65.17, 18, 19, 20, 24, 25. Psalm 67, 4, 5, 6, 7. & 96.10, 11, 12, 13. & 98.7, 8, 9.","Unto whom I will giue for leaders, Abraham, Isaac, and Iacob, Oseas, Amos, and Micheas, Ioel, Abdias, and Ionas,",FALSE,C_Only
