Unnamed: 0,verse_id,score,text,verse_text,prediction,correction,length_disparity
148315,Ecclesiasticus 18.18 (Vulgate) - 1,0.936282515525818,E•brictas opertarceludit. drunkenness Melancholy.,et datus indisciplinati tabescere facit oculos.,False,,False
202940,Ecclesiasticus 25.26 (Vulgate),0.9491693377494812,Transgressio pendentis maledictionem contrabit.,Brevis omnis malitia super malitiam mulieris: sors peccatorum cadat super illam.,False,,False
172631,Galatians 5.23 (Vulgate),0.9362585544586182,"Impassibilitas, Subtilitas, Agilitas, Claritas.","mansuetudo, fides, modestia, continentia, castitas. Adversus hujusmodi non est lex.",False,,False
86925,Psalms 41.1 (Vulgate),0.9356423616409302,Patriarchae haereticorum Philosophy. Tertulian,In finem. Intellectus filiis Core.,False,,False
89307,Proverbs 13.15 (Vulgate),0.936948299407959,"Indignitatis agnitio, ingratitudinis amolitio.",Doctrina bona dabit gratiam; in itinere contemptorum vorago.,False,,False
164124,Hebrews 11.26 (Vulgate) - 0,0.9389297366142272,adore pleni•udinem Scrip•uraraum. Te•cullian.,"majores divitias aestimans thesauro AEgyptiorum, improperium Christi:",True,,False
49987,Galatians 4.23 (Vulgate) - 1,0.9362867474555968,Nullae commendaetione sublimatur. Ambassadors,"qui autem de libera, per repromissionem:",False,,False
70432,1 Maccabees 14.19 (Vulgate) - 1,0.9355393648147584,"Falsificatores Literarum, etc. Apostolicarun.","Et hoc exemplum epistolarum, quas Spartiatae miserunt:",False,,False
129765,Proverbs 13.15 (Vulgate),0.9393103718757628,Indignitatis agnitio Ingratitudinis amoliti•.,Doctrina bona dabit gratiam; in itinere contemptorum vorago.,True,,False
142827,Proverbs 17.26 (Douay-Rheims) - 1,0.9297378063201904,Chrysostome's resolution Concerning swea•ing.,"nor to strike the prince, who judgeth right.",False,,False
95328,Jeremiah 50.42 (Douay-Rheims),0.939880907535553,"Drunkards incorrigible, gluttons insatiable.","They shall take the bow and the shield: they are cruel and unmerciful: their voice shall roar like the sea, and they shall ride upon horses: like a man prepared for battle against thee, O daughter of Babylon.",False,,True
172799,Ezra 9.1 (Vulgate) - 2,0.9215882420539856,"Ebionitarum, Encratitarum, Nazaraeorum, etc.","Chananaei videlicet, et Hethaei, et Pherezaei, et Jebusaei, et Ammonitarum, et Moabitarum, et AEgyptiorum, et Amorrhaeorum:",False,,False
201220,2 Samuel 2.18 (Vulgate) - 1,0.9384605884552002,Sumptus protiocissimus Tempus. Theophrastus.,"porro Asael cursor velocissimus fuit, quasi unus de capreis quae morantur in silvis.",False,,False
142119,Ecclesiasticus 28.14 (Vulgate),0.9520232677459716,Qualities Symbolicae facilime transmutuntur.,"Si sufflaveris in scintillam, quasi ignis exardebit: et si exspueris super illam, extinguetur: utraque ex ore proficiscuntur.",False,,False
170186,Daniel 5.25 (ODRV),0.9242219924926758,"Pharisees, mortarit. Pharisees, impingentes.","And this is the writing which is ordered. MANE, THECEL, PHARES.",False,,False
125497,Psalms 149.7 (ODRV),0.923081636428833,Extraordinary humiliation required sometime.,To doereuenge in the nations: chastisements among the peoples.,False,,False
194682,Psalms 103.18 (Vulgate),0.9410458207130432,"Dedicator damnationis Christiancrum, Tertu•.",Montes excelsi cervis; petra refugium herinaciis.,False,,False
97192,John 7.2 (Vulgate),0.9485217928886414,Videtur appropinquasse festū Scenophagiae.,"Erat autem in proximo dies festus Judaeorum, Scenopegia.",True,,False
