verse_id,text,verse_text,label,top_k
Haggai 2.15 (Geneva) - 1,"Our callings, our labours, our actions, and the workes of our hands are sanctified by it, as Psal. 127.","and so are all the workes of their hands, and that which they offer here, is vncleane.",FALSE,
Haggai 2.15 (Vulgate) - 2,"Our callings, our labours, our actions, and the workes of our hands are sanctified by it, as Psal. 127.","et omnia quæ obtulerunt ibi, contaminata erunt.",FALSE,
Haggai 2.15 (Douay-Rheims) - 2,"Our callings, our labours, our actions, and the workes of our hands are sanctified by it, as Psal. 127.","and all that they have offered there, shall be defiled.",FALSE,
Mark 7.4 (Geneva) - 1,"Our callings, our labours, our actions, and the workes of our hands are sanctified by it, as Psal. 127.","and many other things there be, which they haue taken vpon them to obserue, as the washing of cups, and pots, and of brasen vessels, and of beds.",FALSE,
2 Corinthians 5.9 (Geneva),"Our callings, our labours, our actions, and the workes of our hands are sanctified by it, as Psal. 127.","Wherefore also we couet, that both dwelling at home, and remouing from home, we may be acceptable to him.",FALSE,
Psalms 127.2 (ODRV),"Our callings, our labours, our actions, and the workes of our hands are sanctified by it, as Psal. 127.","Because thou shalt eate the labours of thy handes: blessed art thou, and it shal be wel with thee.",TRUE,1
Psalms 128.2 (AKJV),"Our callings, our labours, our actions, and the workes of our hands are sanctified by it, as Psal. 127.","For thou shalt eat the labour of thine handes: happie shalt thou bee, and it shall be well with thee.",TRUE,2-3
Psalms 128.2 (Geneva),"Our callings, our labours, our actions, and the workes of our hands are sanctified by it, as Psal. 127.","When thou eatest the labours of thine hands, thou shalt be blessed, and it shall be well with thee.",TRUE,2-3
Psalms 127.2 (Vulgate),"Our callings, our labours, our actions, and the workes of our hands are sanctified by it, as Psal. 127.","Labores manuum tuarum quia manducabis: beatus es, et bene tibi erit.",TRUE,4
Ecclesiastes 3.22 (Geneva) - 1,"Salomon doth teach this, who seeing that he must die, and leave all his labours to the ma that should be after him,",For who shall bring him to see what shalbe after him?,FALSE,
Ecclesiastes 3.22 (AKJV) - 2,"Salomon doth teach this, who seeing that he must die, and leave all his labours to the ma that should be after him,",for who shall bring him to see what shalbe after him?,FALSE,
Ecclesiastes 3.22 (Vulgate) - 1,"Salomon doth teach this, who seeing that he must die, and leave all his labours to the ma that should be after him,",Quis enim eum adducet ut post se futura cognoscat?,FALSE,
Ecclesiastes 3.22 (Douay-Rheims) - 1,"Salomon doth teach this, who seeing that he must die, and leave all his labours to the ma that should be after him,",For who shall bring him to know the things that shall be after him?,FALSE,
Ecclesiastes 2.18 (AKJV) - 1,"Salomon doth teach this, who seeing that he must die, and leave all his labours to the ma that should be after him,",because I should leaue it vnto the man that shalbe after mee.,TRUE,1
Ecclesiastes 2.18 (Geneva),"Salomon doth teach this, who seeing that he must die, and leave all his labours to the ma that should be after him,","I hated also all my labour, wherein I had trauailed vnder the sunne, which I shall leaue to the man that shalbe after me.",TRUE,1-2
Ecclesiastes 2.18 (Douay-Rheims),"Salomon doth teach this, who seeing that he must die, and leave all his labours to the ma that should be after him,","Again I hated all my application wherewith I had earnestly laboured under the sun, being like to have an heir after me,",TRUE,3
Ecclesiastes 2.18 (Vulgate),"Salomon doth teach this, who seeing that he must die, and leave all his labours to the ma that should be after him,","Rursus detestatus sum omnem industriam meam, qua sub sole studiosissime laboravi, habiturus hæredem post me,",TRUE,4
