verse_id,text,verse_text,score,prediction,DS_prediction,correction,length_disparity,match
2 Kings 16.15 (Douay-Rheims),"And King Ahaz commanded Vriiah the Priest, and sayde, Vpon the great altar set on fire in the morning the burnt offring, and in the euen the meate offring, and the Kings burnt offring and his meate offering, with the burnt offring of all the people of the lande, and their meate offring, and their drinke offrings: and powre thereby all the blood of the burnt offring, and all the blood of the sacrifice, and the brasen altar shalbe for me to inquire of God.","And king Achaz commanded Urias the priest saying: Upon the great altar offer the morning holocaust, and the evening sacrifice, and the king's holocaust, and his sacrifice, and the holocaust of the whole people of the land, and their sacrifices, and their libations: and all the blood of the holocaust, and all the blood of the victim thou shalt pour out upon it: but the altar of brass shall be ready at my pleasure.",0.7979786396026611,True,,,False,
2 Kings 16.15 (Vulgate),"And King Ahaz commanded Vriiah the Priest, and sayde, Vpon the great altar set on fire in the morning the burnt offring, and in the euen the meate offring, and the Kings burnt offring and his meate offering, with the burnt offring of all the people of the lande, and their meate offring, and their drinke offrings: and powre thereby all the blood of the burnt offring, and all the blood of the sacrifice, and the brasen altar shalbe for me to inquire of God.","Praecepit quoque rex Achaz Uriae sacerdoti, dicens: Super altare majus offer holocaustum matutinum, et sacrificium vespertinum, et holocaustum regis, et sacrificium ejus, et holocaustum universi populi terrae, et sacrificia eorum, et libamina eorum: et omnem sanguinem holocausti, et universum sanguinem victimae super illud effundes: altare vero aereum erit paratum ad voluntatem meam.",0.7918805480003357,True,,,False,
Ezekiel 48.21 (Douay-Rheims),"And the residue shalbe for the prince on the one side and on the other of the oblation of the Sanctuarie, and of the possession of the citie, ouer against the fiue and twentie thousand of the oblation toward the East border, and Westward ouer against the fiue and twentie thousande towarde the West border, ouer against shalbe for the portion of the prince: this shall be the holy oblation, and the house of the Sanctuarie shalbe in the middes thereof.","And the residue shall be for the prince on every side of the firstfruits of the sanctuary, and of the possession of the city over against the five and twenty thousand of the firstfruits unto the east border: toward the sea also over against the five and twenty thousand, unto the border of the sea, shall likewise be the portion of the prince: and the firstfruits of the sanctuary, and the sanctuary of the temple shall be in the midst thereof.",0.777047872543335,True,,,False,
Ezekiel 43.11 (Vulgate),"And if they be ashamed of all that they haue done, shew them the forme of the House, and ye paterne thereof, and the going out thereof, and the coming in thereof, and the whole fashion thereof, and all the ordinances thereof, and all the figures thereof, and all the lawes thereof: and write it in their sight, that they may keepe the whole fashion thereof, and all the ordinances thereof, and do them.","et erubescant ex omnibus quae fecerunt. Figuram domus, et fabricae ejus, exitus et introitus, et omnem descriptionem ejus, et universa praecepta ejus, cunctumque ordinem ejus, et omnes leges ejus ostende eis, et scribes in oculis eorum, ut custodiant omnes descriptiones ejus, et praecepta illius, et faciant ea.",0.7780372500419617,True,,,False,
2 Kings 6.32 (Douay-Rheims),"(Nowe Elisha sate in his house, and the Elders sate with him.) And the King sent a man before him: but before the messenger came to him, he saide to the Elders, See ye not howe this murtherers sonne hath sent to take away mine head? take heede when the messenger commeth, and shut the doore and handle him roughly at the doore: is not the sounde of his masters feete behinde him?","But Eliseus sat in his house, and the ancients sat with him. So he sent a man before: and before that messenger came, he said to the ancients: Do you know that this son of a murderer hath sent to cut off my head? Look then, when the messenger shall come, shut the door, and suffer him not to come in: for behold the sound of his master's feet is behind him.",0.7834017276763916,True,False,,False,False
1 Corinthians 9.21 (Tyndale),"To them that are vnder the Law, as though I were vnder the Law (whereas my self was not vnder the Law) that I might gaine them that were vnder the Law. To them that were without the Law, as though I were without the Law (whereas I was not without the law of God, but was in the law of Christ) that I might gaine them that were without the Law.",To them that were without lawe became I as though I had bene without lawe (when I was not without lawe as perteyninge to god but vnder a lawe as concerninge Christ) to wynne the that were without lawe.,0.7912717461585999,True,True,,False,True
1 Corinthians 9.21 (Vulgate),"To them that are vnder the Law, as though I were vnder the Law (whereas my self was not vnder the Law) that I might gaine them that were vnder the Law. To them that were without the Law, as though I were without the Law (whereas I was not without the law of God, but was in the law of Christ) that I might gaine them that were without the Law.","iis qui sub lege sunt, quasi sub lege essem (cum ipse non essem sub lege) ut eos qui sub lege erant, lucrifacerem: iis qui sine lege erant, tamquam sine lege essem (cum sine lege Dei non essem: sed in lege essem Christi) ut lucrifacerem eos qui sine lege erant.",0.768988311290741,True,True,,False,True
2 Kings 25.23 (Vulgate),"Then when all the captaines of the host and their men heard, that the king of Babel had made Gedaliah gouernour, they came to Gedaliah to Mizpah, to wit, Ishmael the sonne of Nethaniah, and Iohanan the sonne of Kareah, and Seraiah the sonne of Tanhumeth the Netophathite, and Iaazaniah the sonne of Maachathi, they and their men.","Quod cum audissent omnes duces militum, ipsi et viri qui erant cum eis, videlicet quod constituisset rex Babylonis Godoliam, venerunt ad Godoliam in Maspha, Ismahel filius Nathaniae, et Johanan filius Caree, et Saraia filius Thanehumeth Netophathites, et Jezonias filius Maachathi, ipsi et socii eorum.",0.7611380815505981,True,True,,False,True
Deuteronomy 5.14 (Vulgate),"But the seuenth day is the Sabbath of the Lord thy God: thou shalt not doe any worke therein, thou, nor thy sonne, nor thy daughter, nor thy man seruant, nor thy mayd, nor thine oxe, nor thine asse, neither any of thy cattel, nor the stranger that is within thy gates: that thy man seruant and thy mayde may rest aswell as thou.","Septimus dies sabbati est, id est, requies Domini Dei tui. Non facies in eo quidquam operis tu, et filius tuus, et filia, servus et ancilla, et bos, et asinus, et omne jumentum tuum, et peregrinus qui est intra portas tuas: ut requiescat servus tuus, et ancilla tua, sicut et tu.",0.7867963910102844,True,,,False,
2 Kings 17.15 (Vulgate),"And they refused his statutes and his couenant, that he made with their fathers, and his testimonies (wherewith he witnessed vnto them) and they followed vanitie, and became vaine, and followed the heathen that were round about them: concerning whome the Lord had charged them, that they should not do like them.","Et abjecerunt legitima ejus, et pactum quod pepigit cum patribus eorum, et testificationes quibus contestatus est eos: secutique sunt vanitates, et vane egerunt: et secuti sunt gentes quae erant per circuitum eorum, super quibus praeceperat Dominus eis ut non facerent sicut et illae faciebant.",0.7911973595619202,True,,,False,
1 Kings 16.7 (Vulgate),"And also by the hande of Iehu the sonne of Hanani the Prophet, came the worde of the Lord to Baasha, and to his house, that he shoulde be like the house of Ieroboam, euen for all the wickednes that he did in the sight of the Lord, in prouoking him with the worke of his hands, and because he killed him.","Cum autem in manu Jehu filii Hanani prophetae verbum Domini factum esset contra Baasa, et contra domum ejus, et contra omne malum quod fecerat coram Domino, ad irritandum eum in operibus manuum suarum, ut fieret sicut domus Jeroboam: ob hanc causam occidit eum, hoc est, Jehu filium Hanani prophetam.",0.7943490147590637,True,,,False,
1 Kings 20.39 (Vulgate),"And when the King came by, he cried vnto the King, and said, Thy seruant went into the middes of the battel: and beholde, there went away a man, whom another man brought vnto me, and sayd, Keepe this man: if he be lost, and want, thy life shall go for his life, or els thou shalt pay a talent of siluer.","Cumque rex transisset, clamavit ad regem, et ait: Servus tuus egressus est ad praeliandum cominus: cumque fugisset vir unus, adduxit eum quidam ad me, et ait: Custodi virum istum: qui si lapsus fuerit, erit anima tua pro anima ejus, aut talentum argenti appendes.",0.7873659133911133,True,True,,False,True
2 Kings 20.13 (Douay-Rheims),"And Hezekiah heard them, and shewed them all his treasure house, to wit, the siluer, and the golde, and the spices, and the precious oyntment, and all the house of his armour, and al that was founde in his treasures: there was nothing in his house, and in all his realme, that Hezekiah shewed them not.","And Ezechias rejoiced at their coming, and he showed them the house of his aromatical spices, and the gold and the silver, and divers precious odours, and ointments, and the house of his vessels, and all that he had in his treasures. There was nothing in his house, nor in all his dominions that Ezechias shewed them not.",0.7794712781906128,True,True,,False,True
2 Kings 25.27 (Vulgate),"Notwithstanding in the seuen and thirtieth yeere after Iehoiachin King of Iudah was caried away, in the twelft moneth and the seuen and twentieth day of the moneth, Euil-merodach King of Babel in the yeere that hee began to reigne, did lift vp the head of Iehoiachin King of Iudah out of the prison,","Factum est vero in anno trigesimo septimo transmigrationis Joachin regis Juda, mense duodecimo, vigesima septima die mensis: sublevavit Evilmerodach rex Babylonis, anno quo regnare coeperat, caput Joachin regis Juda de carcere.",0.7415339946746826,True,,,False,
1 Kings 20.28 (Vulgate),"And there came a man of God, and spake vnto the King of Israel, saying, Thus sayeth the Lord, Because the Aramites haue sayd, The Lord is the God of the mountaines, and not God of the valleis, therefore will I deliuer all this great multitude into thine hand, and ye shall know that I am the Lord.","(Et accedens unus vir Dei, dixit ad regem Israel: Haec dicit Dominus: Quia dixerunt Syri: Deus montium est Dominus, et non est Deus vallium: dabo omnem multitudinem hanc grandem in manu tua, et scietis quia ego sum Dominus.)",0.7951864004135132,True,True,,False,True
1 Kings 14.21 (Vulgate),"Also Rehoboam the sonne of Salomon reigned in Iudah. Rehoboam was one and fourtie yere olde, when he began to reigne, and reigned seuenteene yere in Ierusalem, the citie which the Lord did chuse out of al the tribes of Israel, to put his Name there: and his mothers name was Naamah an Ammonite.","Porro Roboam filius Salomonis regnavit in Juda. Quadraginta et unius anni erat Roboam cum regnare coepisset: decem et septem annos regnavit in Jerusalem civitate, quam elegit Dominus ut poneret nomen suum ibi, ex omnibus tribubus Israel. Nomen autem matris ejus Naama Ammanitis.",0.7754087448120117,True,True,,False,True
Galatians 2.16 (Tyndale),"Knowe that a man is not iustified by the works of the Law, but by ye faith of Iesus Christ, euen we, I say, haue beleeued in Iesus Christ, that we might be iustified by the faith of Christ, and not by the workes of the Lawe, because that by the workes of the Lawe, no flesh shalbe iustified.",knowe that a man is not iustified by the dedes of the lowe: but by the fayth of Iesus Christ. And therfore we have beleved on Iesus Christ that we myght be iustified by the fayth of Christ and uot by the dedes of the lawe: because that by the dedes of the lawe no flesshe shalbe iustified.,0.7799478769302368,True,,,False,
Galatians 2.16 (Vulgate),"Knowe that a man is not iustified by the works of the Law, but by ye faith of Iesus Christ, euen we, I say, haue beleeued in Iesus Christ, that we might be iustified by the faith of Christ, and not by the workes of the Lawe, because that by the workes of the Lawe, no flesh shalbe iustified.","Scientes autem quod non justificatur homo ex operibus legis, nisi per fidem Jesu Christi: et nos in Christo Jesu credimus, ut justificemur ex fide Christi, et non ex operibus legis: propter quod ex operibus legis non justificabitur omnis caro.",0.7715299725532532,True,,,False,
Numbers 19.13 (Douay-Rheims),"Whosoeuer toucheth ye corps of any man that is dead, and purgeth not himselfe, defileth the Tabernacle of the Lord, and that person shall be cut off from Israel, because the sprinkling water was not sprinkled vpon him: he shall be vncleane, and his vncleannesse shall remaine still vpon him.","Every one that toucheth the corpse of a man, and is not sprinkled with mixture, shall profane the tabernacle of the Lord, and shall perish out of Israel: because he was not sprinkled with the water of expiation, he shall be unclean, and his uncleanness shall remain upon him.",0.7697934508323669,True,,,False,
2 Kings 17.13 (Douay-Rheims),"Et testificatus est Dominus in Israel et in Juda per manum omnium prophetarum et videntium, dicens: Revertimini a viis vestris pessimis, et custodite praecepta mea et caeremonias, juxta omnem legem quam praecepi patribus vestris, et sicut misi ad vos in manu servorum meorum prophetarum.","And the Lord testified to them in Israel and in Juda by the hand of all the prophets and seers, saying: Return from your wicked ways, and keep my precepts, and ceremonies, according to all the law which I commanded your fathers: and as I have sent to you in the hand of my servants the prophets.",0.7823779582977295,True,,,False,
Numbers 15.24 (Douay-Rheims),"And if so be that ought be committed ignorantly of the Congregation, then all ye Congregatio shall giue a bullocke for a burnt offring, for a sweete sauour vnto the Lord, with the meat offring and drinke offring thereto, according to the maner, and an hee goate for a sinne offring.","And the multitude have forgotten to do it: they shall offer a calf out of the herd, a holocaust for a most sweet savour to the Lord, and the sacrifice and libations thereof, as the ceremonies require, and a buck goat for sin:",0.7961359620094299,True,True,,False,True
2 Kings 12.9 (Vulgate),"Then Iehoiada the Priest tooke a chest and bored an hole in the lid of it, and set it beside the altar, on the right side, as euery man commeth into the Temple of the Lord. And the Priestes that kept the doore, put therein all the money that was brought into the house of the Lord.","Et tulit Jojada pontifex gazophylacium unum, aperuitque foramen desuper, et posuit illud juxta altare ad dexteram ingredientium domum Domini: mittebantque in eo sacerdotes qui custodiebant ostia, omnem pecuniam quae deferebatur ad templum Domini.",0.7864407300949097,True,,,False,
Revelation 18.12 (Vulgate),"The ware of golde, and siluer, and of precious stone, and of pearles, and of fine linnen, and of purple, and of silke, and of skarlet, and of all maner of Thyne wood, and of all vessels of yuorie, and of all vessels of most precious wood, and of brasse, and of yron, and of marble,","merces auri, et argenti, et lapidis pretiosi, et margaritae, et byssi, et purpurae, et serici, et cocci (et omne lignum thyinum, et omnia vasa eboris, et omnia vasa de lapide pretioso, et aeramento, et ferro, et marmore,",0.7862656116485596,True,True,,False,True
Leviticus 12.6 (Vulgate),"Nowe when the dayes of her purifying are out, (whether it be for a sonne or for a daughter) shee shall bring to the Priest a lambe of one yeere olde for a burnt offering, and a yong pigeon or a turtle doue for a sinne offring, vnto the doore of the Tabernacle of the Congregation,","Cumque expleti fuerint dies purificationis suae, pro filio sive pro filia, deferet agnum anniculum in holocaustum, et pullum columbae sive turturem pro peccato, ad ostium tabernaculi testimonii, et tradet sacerdoti,",0.7996975183486938,True,,,False,
1 Kings 13.4 (Vulgate),"And when the King had heard the saying of the man of God, which he had cryed against the altar in Beth-el, Ieroboam stretched out his hand from the altar, saying, Lay holde on him: but his hande which he put foorth against him, dryed vp, and he could not pull it in againe to him.","Cumque audisset rex sermonem hominis Dei quem inclamaverat contra altare in Bethel, extendit manum suam de altari, dicens: Apprehendite eum. Et exaruit manus ejus quam extenderat contra eum, nec valuit retrahere eam ad se.",0.7802750468254089,True,True,,False,True
