verse_id,verse_text,to_remove
1 Kings 10.18 (Douay-Rheims) - 1,Part 2 of 1 Kings 10.18: Thus saith the Lord the God of Israel:,TRUE
1 Kings 7.18 (AKJV) - 1,Part 2 of 1 Kings 7.18: and so did he for the other chapiter.,TRUE
2 Kings 5.8 (Douay-Rheims) - 1,Part 2 of 2 Kings 5.8: therefore it is said in the proverb:,TRUE
2 Paralipomenon 34.26 (Douay-Rheims) - 1,Part 2 of 2 Paralipomenon 34.26: Thus saith the Lord the God of Israel:,TRUE
4 Kings 19.20 (Douay-Rheims) - 1,Part 2 of 4 Kings 19.20: Thus saith the Lord the God of Israel:,TRUE
4 Kings 22.18 (Douay-Rheims) - 1,Part 2 of 4 Kings 22.18: Thus saith the Lord the God of Israel:,TRUE
Acts 2.16 (ODRV),Acts 2.16 But this is it that was said by the Prophet Ioel:,TRUE
Ezekiel 23.1 (AKJV),"Ezekiel 23.1 The word of the Lord came againe vnto me, saying,",TRUE
Ezekiel 28.1 (AKJV),"Ezekiel 28.1 The word of the Lord came againe vnto me, saying,",TRUE
Ezekiel 28.1 (Geneva),"Ezekiel 28.1 The word of the Lord came againe vnto me, saying,",TRUE
Ezekiel 30.1 (AKJV),"Ezekiel 30.1 The word of the Lord came againe vnto me, saying,",TRUE
Ezekiel 33.23 (AKJV),"Ezekiel 33.23 Then the word of the Lord came vnto me, saying,",TRUE
Ezekiel 37.15 (Geneva),"Ezekiel 37.15 The word of the Lord came againe vnto me, saying,",TRUE
Isaiah 37.21 (Douay-Rheims) - 1,Part 2 of Isaiah 37.21: Thus saith the Lord the God of Israel:,TRUE
Jeremiah 1.4 (AKJV),"Jeremiah 1.4 Then the word of the Lord came vnto me, saying,",TRUE
Jeremiah 11.1 (Douay-Rheims),"Jeremiah 11.1 The word that came from the Lord to Jeremias, saying:",TRUE
Jeremiah 11.1 (Geneva),"Jeremiah 11.1 The worde that came to Ieremiah from the Lord, saying,",TRUE
Jeremiah 11.3 (Douay-Rheims) - 1,Part 2 of Jeremiah 11.3: Thus saith the Lord the God of Israel:,TRUE
Jeremiah 13.8 (Geneva),"Jeremiah 13.8 Then the word of the Lord came vnto me, saying,",TRUE
Jeremiah 16.9 (Douay-Rheims) - 0,"Part 1 of Jeremiah 16.9: For thus saith the Lord of hosts, the God of Israel:",TRUE
Jeremiah 16.9 (Vulgate) - 0,"Part 1 of Jeremiah 16.9: Quia hæc dicit Dominus exercituum, Deus Israël:",TRUE
Jeremiah 19.15 (Douay-Rheims) - 0,"Part 1 of Jeremiah 19.15: Thus saith the Lord of hosts, the God of Israel:",TRUE
Jeremiah 19.3 (AKJV) - 1,"Part 2 of Jeremiah 19.3: Thus saith the Lord of hostes, the God of Israel;",TRUE
Jeremiah 24.5 (Douay-Rheims) - 0,Part 1 of Jeremiah 24.5: Thus saith the Lord the God of Israel:,TRUE
Jeremiah 25.15 (Douay-Rheims) - 0,Part 1 of Jeremiah 25.15: For thus saith the Lord of hosts the God of Israel:,TRUE
Jeremiah 25.27 (Douay-Rheims) - 1,Part 2 of Jeremiah 25.27: Thus saith the Lord of hosts the God of Israel:,TRUE
Jeremiah 27.4 (Douay-Rheims) - 1,Part 2 of Jeremiah 27.4: Thus saith the Lord of hosts the God of Israel:,TRUE
Jeremiah 28.14 (Douay-Rheims) - 0,Part 1 of Jeremiah 28.14: For thus saith the Lord of hosts the God of Israel:,TRUE
Jeremiah 28.14 (Vulgate) - 0,"Part 1 of Jeremiah 28.14: Quia hæc dicit Dominus exercituum, Deus Israël:",TRUE
Jeremiah 28.2 (Douay-Rheims) - 0,Part 1 of Jeremiah 28.2: Thus saith the Lord of hosts the God of Israel:,TRUE
Jeremiah 29.25 (Douay-Rheims) - 0,Part 1 of Jeremiah 29.25: Thus saith the Lord of hosts the God of Israel:,TRUE
Jeremiah 29.30 (Douay-Rheims),"Jeremiah 29.30 And the word of the Lord came to Jeremias, saying:",TRUE
Jeremiah 29.30 (Geneva),"Jeremiah 29.30 Then came the worde of the Lord vnto Ieremiah, saying,",TRUE
Jeremiah 30.1 (Geneva),"Jeremiah 30.1 The worde, that came to Ieremiah from the Lord, saying,",TRUE
Jeremiah 30.1 (Vulgate),"Jeremiah 30.1 Hoc verbum quod factum est ad Jeremiam a Domino, dicens:",TRUE
Jeremiah 31.23 (Douay-Rheims) - 0,"Part 1 of Jeremiah 31.23: Thus saith the Lord of hosts, the God of Israel:",TRUE
Jeremiah 32.14 (AKJV) - 0,Part 1 of Jeremiah 32.14: Thus saith the Lord of hosts the God of Israel;,TRUE
Jeremiah 32.14 (Douay-Rheims) - 0,Part 1 of Jeremiah 32.14: Thus saith the Lord of hosts the God of Israel:,TRUE
Jeremiah 32.15 (AKJV) - 0,Part 1 of Jeremiah 32.15: For thus saith the Lord of hostes the God of Israel;,TRUE
Jeremiah 32.15 (Douay-Rheims) - 0,Part 1 of Jeremiah 32.15: For thus saith the Lord of hosts the God of Israel:,TRUE
Jeremiah 32.15 (Vulgate) - 0,"Part 1 of Jeremiah 32.15: hæc enim dicit Dominus exercituum, Deus Israël:",TRUE
Jeremiah 32.26 (AKJV),"Jeremiah 32.26 Then came the word of the Lord vnto Ieremiah, saying,",TRUE
Jeremiah 32.26 (Douay-Rheims),"Jeremiah 32.26 And the word of the Lord came to Jeremias, saying:",TRUE
Jeremiah 32.26 (Geneva),"Jeremiah 32.26 Then came the worde of the Lord vnto Ieremiah, saying,",TRUE
Jeremiah 33.19 (AKJV),"Jeremiah 33.19 And the word of the Lord came vnto Ieremiah, saying,",TRUE
Jeremiah 33.19 (Douay-Rheims),"Jeremiah 33.19 And the word of the Lord came to Jeremias, saying:",TRUE
Jeremiah 33.19 (Geneva),"Jeremiah 33.19 And the worde of the Lord came vnto Ieremiah, saying,",TRUE
Jeremiah 33.23 (Douay-Rheims),"Jeremiah 33.23 And the word of the Lord came to Jeremias, saying:",TRUE
Jeremiah 34.12 (AKJV),"Jeremiah 34.12 Therefore the worde of the Lord came to Ieremiah, from the Lord, saying,",TRUE
Jeremiah 34.12 (Geneva),"Jeremiah 34.12 Therefore the worde of the Lord came vnto Ieremiah from the Lord, saying,",TRUE
Jeremiah 34.13 (Douay-Rheims) - 0,Part 1 of Jeremiah 34.13: Thus saith the Lord the God of Israel:,TRUE
Jeremiah 35.12 (AKJV),"Jeremiah 35.12 Then came the word of the Lord vnto Ieremiah, saying,",TRUE
Jeremiah 35.12 (Douay-Rheims),"Jeremiah 35.12 And the word of the Lord came to Jeremias, saying:",TRUE
Jeremiah 35.12 (Geneva),"Jeremiah 35.12 Then came the word of the Lord vnto Ieremiah, saying,",TRUE
Jeremiah 35.13 (Douay-Rheims) - 0,Part 1 of Jeremiah 35.13: Thus saith the Lord of hosts the God of Israel:,TRUE
Jeremiah 35.17 (Douay-Rheims) - 0,Part 1 of Jeremiah 35.17: Therefore thus saith the Lord of hosts the God of Israel:,TRUE
Jeremiah 35.17 (Vulgate) - 0,"Part 1 of Jeremiah 35.17: Idcirco hæc dicit Dominus exercituum, Deus Israël:",TRUE
Jeremiah 35.18 (Douay-Rheims) - 1,Part 2 of Jeremiah 35.18: Thus saith the Lord of hosts the God of Israel:,TRUE
Jeremiah 35.19 (Douay-Rheims) - 0,Part 1 of Jeremiah 35.19: Therefore thus saith the Lord of host the God of Israel:,TRUE
Jeremiah 37.5 (Douay-Rheims),"Jeremiah 37.5 And the word of the Lord came to Jeremias the prophet, saying:",TRUE
Jeremiah 37.5 (Vulgate),"Jeremiah 37.5 Et factum est verbum Domini ad Jeremiam prophetam, dicens:",TRUE
Jeremiah 37.6 (Douay-Rheims) - 0,Part 1 of Jeremiah 37.6: Thus saith the Lord the God of Israel:,TRUE
Jeremiah 39.16 (Douay-Rheims) - 0,Part 1 of Jeremiah 39.16: Thus saith the Lord of hosts the God of Israel:,TRUE
Jeremiah 42.15 (Douay-Rheims) - 1,"Part 2 of Jeremiah 42.15: Thus saith the Lord of hosts, the God of Israel:",TRUE
Jeremiah 42.18 (Douay-Rheims) - 0,"Part 1 of Jeremiah 42.18: For thus saith the Lord of hosts, the God of Israel:",TRUE
Jeremiah 42.18 (Vulgate) - 0,"Part 1 of Jeremiah 42.18: Quia hæc dicit Dominus exercituum, Deus Israël:",TRUE
Jeremiah 43.10 (Douay-Rheims) - 1,Part 2 of Jeremiah 43.10: Thus saith the Lord of hosts the God of Israel:,TRUE
Jeremiah 44.11 (Douay-Rheims) - 0,Part 1 of Jeremiah 44.11: Therefore thus saith the Lord of hosts the God of Israel:,TRUE
Jeremiah 44.2 (AKJV) - 0,"Part 1 of Jeremiah 44.2: Thus saith the Lord of hosts, the God of Israel;",TRUE
Jeremiah 44.2 (Douay-Rheims) - 0,Part 1 of Jeremiah 44.2: Thus saith the Lord of hosts the God of Israel:,TRUE
Jeremiah 44.7 (Douay-Rheims) - 0,Part 1 of Jeremiah 44.7: And now thus saith the Lord of hosts the God of Israel:,TRUE
Jeremiah 44.7 (Vulgate) - 0,"Part 1 of Jeremiah 44.7: Et nunc hæc dicit Dominus exercituum, Deus Israël:",TRUE
Jeremiah 5.14 (Douay-Rheims) - 0,Part 1 of Jeremiah 5.14: Thus saith the Lord the God of hosts:,TRUE
Jeremiah 50.18 (AKJV) - 0,Part 1 of Jeremiah 50.18: Therefore thus saith the Lord of hostes the God of Israel;,TRUE
Jeremiah 50.18 (Douay-Rheims) - 0,Part 1 of Jeremiah 50.18: Therefore thus saith the Lord of hosts the God of Israel:,TRUE
Jeremiah 51.33 (AKJV) - 0,"Part 1 of Jeremiah 51.33: For thus saith the Lord of hostes, the God of Israel;",TRUE
Jeremiah 51.33 (Douay-Rheims) - 0,Part 1 of Jeremiah 51.33: For thus saith the Lord of hosts the God of Israel:,TRUE
Jeremiah 51.33 (Vulgate) - 0,"Part 1 of Jeremiah 51.33: Quia hæc dicit Dominus exercituum, Deus Israël:",TRUE
Jeremiah 7.1 (Douay-Rheims),"Jeremiah 7.1 The word that came to Jeremias from the Lord, saying:",TRUE
Jeremiah 7.21 (Douay-Rheims) - 0,Part 1 of Jeremiah 7.21: Thus saith the Lord of hosts the God of Israel:,TRUE
