ESV,text,Parallel,version,verse_text,toCheck
Genesis 5.12,"When Kenan had lived 70 years, he fathered Mahalalel.",Genesis 5.12,AKJV,"Genesis 5.12 And Cainan liued seuentie yeeres, and begate Mahalaleel.",False
Genesis 5.13,Kenan lived after he fathered Mahalalel 840 years and had other sons and daughters.,Genesis 5.13,AKJV,"Genesis 5.13 And Cainan liued after he begate Mahalaleel, eight hundred and fourtie yeeres, & begate sonnes and daughters.",False
Genesis 24.62,Now Isaac had returned from Beer-lahai-roi and was dwelling in the Negeb.,Genesis 24.62,AKJV,"Genesis 24.62 And Isaac came from the way of the well Lahai-roi, for he dwelt in the South countrey.",False
Genesis 36.41,"Oholibamah, Elah, Pinon,",Genesis 36.41,AKJV,"Genesis 36.41 Duke Aholibamah, duke Elah, duke Pinon,",False
Exodus 4.13,"But he said, ""Oh, my Lord, please send someone else.""",Exodus 4.13,AKJV,"Exodus 4.13 And he said, O my Lord, send, I pray thee, by the hand of him whom thou wilt send.",False
Exodus 6.17,"The sons of Gershon: Libni and Shimei, by their clans.",Exodus 6.17,AKJV,"Exodus 6.17 The sonnes of Gershon: Libni and Shimi, according to their families.",False
Exodus 25.35,and a calyx of one piece with it under each pair of the six branches going out from the lampstand.,Exodus 25.35,AKJV,"Exodus 25.35 And there shal be a knop vnder two branches of the same, and a knop vnder two branches of the same, and a knop vnder two branches of the same, according to the sixe branches that proceede out of the candlesticke.",False
Leviticus 14.31,"one for a sin offering and the other for a burnt offering, along with a grain offering. And the priest shall make atonement before the LORD for him who is being cleansed.",Leviticus 14.31,AKJV,"Leviticus 14.31 Euen such as he is able to get, the one for a sinne offering, and the other for a burnt offering, with the meat offering. And the Priest shall make an atonement for him that is to be cleansed, before the Lord.",False
Numbers 2.11,"his company as listed being 46,500.",Numbers 2.11,AKJV,"Numbers 2.11 And his hoste, and those that were numbred thereof, were fourtie and sixe thousand, and fiue hundred.",False
Numbers 21.12,From there they set out and camped in the Valley of Zered.,Numbers 21.12,AKJV,"Numbers 21.12 From thence they remooued, and pitched in the valley of Zared.",False
Numbers 28.29,a tenth for each of the seven lambs;,Numbers 28.29,AKJV,"Numbers 28.29 A seuerall tenth deale vnto one lambe, thorowout the seuen lambes,",False
Joshua 19.46,and Me-jarkon and Rakkon with the territory over against Joppa.,Joshua 19.46,AKJV,"Joshua 19.46 And Meiarkon, and Rakkon, with the border before Iapho.",False
Judges 5.13,Then down marched the remnant of the noble; the people of the LORD marched down for me against the mighty.,Judges 5.13,AKJV,"Judges 5.13 Then hee made him that remaineth, haue dominion ouer the Nobles among the people: the Lord made me haue dominion ouer the mightie.",False
2 Kings 5.4,"So Naaman went in and told his lord, ""Thus and so spoke the girl from the land of Israel.""",2 Kings 5.4,AKJV,"2 Kings 5.4 And one went in, and tolde his lord, saying, Thus and thus said the mayd that is of the land of Israel.",False
