ESV,text,Parallel,version,verse_text,rank,prediction,toCheck,correction
1 Chronicles 25.22,"1 Chronicles 25.22 to the fifteenth, to Jeremoth, his sons and his brothers, twelve;",1 Chronicles 25.23,AKJV,"1 Chronicles 25.23 The sixteenth to Hananiah, hee, his sonnes & his brethren, were twelue:",0.0,False,False,
1 Chronicles 25.22,"1 Chronicles 25.22 to the fifteenth, to Jeremoth, his sons and his brothers, twelve;",1 Chronicles 25.19,AKJV,"1 Chronicles 25.19 The twelfth to Hashabiah, he, his sonnes and his brethren, were twelue:",2.0,False,False,
1 Chronicles 25.22,"1 Chronicles 25.22 to the fifteenth, to Jeremoth, his sons and his brothers, twelve;",1 Chronicles 25.21,AKJV,"1 Chronicles 25.21 The fourteenth to Mattithiah, hee, his sonnes and his brethren, were twelue.",3.0,False,False,
1 Chronicles 25.22,"1 Chronicles 25.22 to the fifteenth, to Jeremoth, his sons and his brothers, twelve;",1 Chronicles 25.26,AKJV,"1 Chronicles 25.26 The nineteenth to Mallothi, hee, his sonnes & his brethren, were twelue:",4.0,False,False,
1 Chronicles 25.22,"1 Chronicles 25.22 to the fifteenth, to Jeremoth, his sons and his brothers, twelve;",1 Chronicles 25.22,AKJV,"1 Chronicles 25.22 The fifteenth to Ierimoth, hee, his sonnes & his brethren, were twelue:",,True,False,
1 Chronicles 25.22,"1 Chronicles 25.22 to the fifteenth, to Jeremoth, his sons and his brothers, twelve;",1 Chronicles 25.27,AKJV,"1 Chronicles 25.27 The twentieth to Eliathah, hee, his sonnes & his brethren, were twelue:",1.0,False,False,
1 Corinthians 11.11,"1 Corinthians 11.11 That is why a wife ought to have a symbol of authority on her head, because of the angels.",1 Corinthians 11.11,Tyndale,1 Corinthians 11.11 Neverthelesse nether is the man with oute the woman nether the woman with out the man in the lorde.,4.0,False,False,
1 Corinthians 11.11,"1 Corinthians 11.11 That is why a wife ought to have a symbol of authority on her head, because of the angels.",1 Corinthians 11.12,Tyndale,1 Corinthians 11.12 For as the woman is of the man even so is the man by the woman: but all is of God.,3.0,False,False,
1 Corinthians 11.11,"1 Corinthians 11.11 That is why a wife ought to have a symbol of authority on her head, because of the angels.",1 Corinthians 11.9,Tyndale,1 Corinthians 11.9 Nether was the man created for the womans sake: but the woman for the mannes sake.,2.0,False,False,
1 Corinthians 11.11,"1 Corinthians 11.11 That is why a wife ought to have a symbol of authority on her head, because of the angels.",1 Corinthians 11.13,Tyndale,1 Corinthians 11.13 Iudge in youre selves whether it be coly that a woman praye vnto god bare heeded.,1.0,False,False,
1 Corinthians 11.11,"1 Corinthians 11.11 That is why a wife ought to have a symbol of authority on her head, because of the angels.",1 Corinthians 11.10,Tyndale,1 Corinthians 11.10 For this cause ought the woman to have power on her heed for the angels sakes.,0.0,True,False,
1 Corinthians 11.12,"1 Corinthians 11.12 Nevertheless, in the Lord woman is not independent of man nor man of woman;",1 Corinthians 11.12,AKJV,1 Corinthians 11.12 For as the woman is of the man: euen so is the man also by the woman; but all things of God.,,False,False,
1 Corinthians 11.12,"1 Corinthians 11.12 Nevertheless, in the Lord woman is not independent of man nor man of woman;",1 Corinthians 11.9,AKJV,1 Corinthians 11.9 Neither was the man created for the woman: but the woman for the man.,2.0,False,False,
1 Corinthians 11.12,"1 Corinthians 11.12 Nevertheless, in the Lord woman is not independent of man nor man of woman;",1 Corinthians 11.8,AKJV,1 Corinthians 11.8 For the man is not of the woman: but the woman of the man.,1.0,False,False,
1 Corinthians 11.12,"1 Corinthians 11.12 Nevertheless, in the Lord woman is not independent of man nor man of woman;",1 Corinthians 11.11,AKJV,"1 Corinthians 11.11 Neuerthelesse, neither is the man without the woman, neither the woman without the man in the Lord.",0.0,True,False,
1 Corinthians 11.12,"1 Corinthians 11.12 Nevertheless, in the Lord woman is not independent of man nor man of woman;",1 Corinthians 11.14,Vulgate,"1 Corinthians 11.14 Nec ipsa natura docet vos, quod vir quidem si comam nutriat, ignominia est illi:",4.0,False,False,
1 Corinthians 11.12,"1 Corinthians 11.12 Nevertheless, in the Lord woman is not independent of man nor man of woman;",1 Corinthians 11.12,Vulgate,"1 Corinthians 11.12 Nam sicut mulier de viro, ita et vir per mulierem: omnia autem ex Deo.",3.0,False,False,
1 Corinthians 11.12,"1 Corinthians 11.12 Nevertheless, in the Lord woman is not independent of man nor man of woman;",1 Corinthians 11.10,Vulgate,1 Corinthians 11.10 Ideo debet mulier potestatem habere supra caput propter angelos.,2.0,False,False,
1 Corinthians 11.12,"1 Corinthians 11.12 Nevertheless, in the Lord woman is not independent of man nor man of woman;",1 Corinthians 11.13,Vulgate,1 Corinthians 11.13 Vos ipsi judicate: decet mulierem non velatam orare Deum?,1.0,False,False,
