,verse_id,score,text,verse_text,label,V1_Label,index,Version,Part
0,['Haggai 2.15 (Geneva) - 1'],0.9304500818,"Our callings, our labours, our actions, and the workes of our hands are sanctified by it, as Psal. 127.","and so are all the workes of their hands, and that which they offer here, is vncleane",1,0,0,Geneva,Old Testament
1,['Mark 7.4 (Geneva)'],0.9242900014,"Our callings, our labours, our actions, and the workes of our hands are sanctified by it, as Psal. 127.","And when they come from the market, except they wash, they eate not: and many other things there be, which they haue taken vpon them to obserue, as the washing of cups, and pots, and of brasen vessels, and of beds.)",1,0,2,Geneva,New Testament
2,['Daniel 4.14 (Geneva) - 1'],0.9333640337,"Amos 8. 11. What can from hence be collected, but, that it is as necessary for vs to heare the word of God, as it is to eat?","the demaunde was answered, to the intent that liuing men may knowe, that the most High hath power ouer the kingdome of men, and giueth it to whomsoeuer he will, and appointeth ouer it the most abiect among men",1,0,17,Geneva,Old Testament
3,['Daniel 4.14 (Geneva)'],0.9304387569,"The End at which they aime. 1. The Principle of operation in God is his owne Soveraigne will, and good pleasure. Hee doth what ever hee pleaseth, Psal. 115. 3.","The sentence is according to the decree of the watchmen, and according to the word of the holy ones: the demaunde was answered, to the intent that liuing men may knowe, that the most High hath power ouer the kingdome of men, and giueth it to whomsoeuer he will, and appointeth ouer it the most abiect among men.",0,1,30,Geneva,Old Testament
4,Malachi 3.6 (Geneva) -1 ,,So they answere againe. We are not consumed.,"I change not, and ye sonnes of Iaakob are not consumed. ",0,1,37,Geneva,Old Testament
5,Malachi 3.6 (KJV) -1 ,,So they answere againe. We are not consumed.,therefore ye sons of Jacob are not consumed.,0,1,38,KJV,Old Testament
6,['Micah 7.3 (Geneva) - 1'],0.9300190806,"Ps. 131. Solomon, the haughtinesse of the spirit,",therefore the great man he speaketh out the corruption of his soule,0,1,39,Geneva,Old Testament
7,Matthew 5.39 (Tyndale) - 1,,"the turning of our cheke vnto him that striketh vs,",But whosoever geve the a blowe on thy right cheke tourne to him the other.,1,0,44,Tyndale,New Testament
8,['1 Kings 11.2 (Geneva) - 1'],0.9322302938,"behold, saith King David, this love, (or dotage rather) is but to love Vanity; yea, as his sonne King Solomon doubles and redoubles it,","for surely they will turne your hearts after their gods, to them, I say, did Salomon ioyne in loue",1,0,46,Geneva,Old Testament
9,Psalms 4.2 (KJV) - 1,,"behold, saith King David, this love, (or dotage rather) is but to love Vanity; yea, as his sonne King Solomon doubles and redoubles it,","how long will ye love vanity, and seek after leasing? ",1,0,47,KJV,Old Testament
10,Ecclesiastes 1.2 (KJV) ,,"behold, saith King David, this love, (or dotage rather) is but to love Vanity; yea, as his sonne King Solomon doubles and redoubles it,","Vanity of vanities, saith the Preacher, vanity of vanities; all is vanity.",1,0,51,KJV,Old Testament
11,['Leviticus 14.43 (Geneva)'],0.926071465,"Wee see in Dauids experience, how stood the case with him after he had committed that great sinne, 2.","But if the plague come againe and breake out in the house, after that he hath taken away ye stones, and after that hee hath scraped and playstered the house,",1,0,55,Geneva,Old Testament
12,Job 14.5 (Geneva) ,,"Yea though an Angel could not tell Esdras how long hee should liue. 2. Esd yet these will professe to put a period vnto our liues, when our dayes are determined, our monthes numbred, our bounds appointed which wee cannot passe, onely in Gods hand.","Are not his dayes determined? the nober of his moneths are with thee: thou hast appointed his boundes, which he can not passe.",0,1,66,Geneva,Old Testament
13,['Numbers 35.22 (Geneva)'],0.9345293641,"And a thankefull mind seeketh the continuance of vndeserued fauours, and not Hanuns part, 2. Sam. 10.","But if he pusshed him vnaduisedly, and not of hatred, or cast vpon him any thing, without laying of waite,",1,0,79,Geneva,Old Testament
