,Feature_Type,Feature,Model,Accuracy,Precision,F1_Score,Cohen's Kappa
0,Part,Old Testament,DS,0.8438,0.9333,0.871,0.6753
1,Part,Old Testament,GPT,0.7838,0.9425,0.8089,0.5713
2,Part,New Testament,DS,0.8822,0.9538,0.924,0.6639
3,Part,New Testament,GPT,0.7896,0.9706,0.8522,0.5052
4,Part,Apocrypha,DS,0.7286,0.9643,0.7397,0.4865
5,Part,Apocrypha,GPT,0.6286,1.0,0.5938,0.343
6,Version,Douay-Rheims,DS,0.8371,0.9557,0.8872,0.5992
7,Version,Douay-Rheims,GPT,0.7372,0.9694,0.8007,0.4474
8,Version,Geneva,DS,0.9066,0.9658,0.9338,0.7757
9,Version,Geneva,GPT,0.8451,0.9767,0.8837,0.6582
10,Version,Vulgate,DS,0.9107,0.9591,0.9499,0.5376
11,Version,Vulgate,GPT,0.7784,0.9625,0.8644,0.2916
12,Version,KJV,DS,0.8179,0.9275,0.8787,0.5172
13,Version,KJV,GPT,0.7182,0.9684,0.7887,0.4068
14,Version,Wycliffe,DS,0.7857,1.0,0.5714,0.4615
15,Version,Wycliffe,GPT,0.7857,1.0,0.5714,0.4615
16,Version,Tyndale,DS,0.8521,0.8913,0.877,0.6916
17,Version,Tyndale,GPT,0.8071,0.9114,0.8276,0.6128
18,Book,Haggai,DS,1.0,0.0,0.0,
19,Book,Haggai,GPT,1.0,0.0,0.0,
20,Book,Ephesians,DS,0.9259,0.9405,0.9518,0.7919
21,Book,Ephesians,GPT,0.8056,0.9552,0.8591,0.5556
22,Book,Genesis,DS,0.8804,0.9344,0.912,0.7259
23,Book,Genesis,GPT,0.8261,0.9444,0.8644,0.6268
24,Book,Habakkuk,DS,1.0,1.0,1.0,1.0
25,Book,Habakkuk,GPT,1.0,1.0,1.0,1.0
26,Book,Proverbs,DS,0.6667,0.0,0.0,0.0
27,Book,Proverbs,GPT,0.6667,0.0,0.0,0.0
28,Book,Judges,DS,1.0,1.0,1.0,1.0
29,Book,Judges,GPT,0.6,0.6667,0.6667,0.1667
30,Book,Deuteronomy,DS,0.9107,0.9375,0.9474,0.6535
31,Book,Deuteronomy,GPT,0.9107,1.0,0.9438,0.7297
32,Book,Numbers,DS,1.0,1.0,1.0,1.0
33,Book,Numbers,GPT,0.9091,1.0,0.8,0.7442
34,Book,1 Peter,DS,0.9137,0.9756,0.9524,0.4936
35,Book,1 Peter,GPT,0.7194,0.9891,0.8235,0.2237
36,Book,Ecclesiasticus,DS,0.9091,1.0,0.9268,0.8085
37,Book,Ecclesiasticus,GPT,0.7273,1.0,0.7429,0.4906
38,Book,Job,DS,0.8846,0.9688,0.9118,0.7468
39,Book,Job,GPT,0.8077,0.9333,0.8485,0.5912
40,Book,2 Kings,DS,0.625,0.75,0.5,0.25
41,Book,2 Kings,GPT,0.8125,1.0,0.7692,0.625
42,Book,2 John,DS,0.5,0.0,0.0,0.0
43,Book,2 John,GPT,0.5,0.0,0.0,0.0
44,Book,Baruch,DS,0.8,1.0,0.8,0.6154
45,Book,Baruch,GPT,0.6,1.0,0.5,0.2857
46,Book,Zechariah,DS,1.0,0.0,0.0,
47,Book,Zechariah,GPT,1.0,0.0,0.0,
48,Book,Mark,DS,0.9286,1.0,0.8,0.7586
49,Book,Mark,GPT,0.9286,1.0,0.8,0.7586
50,Book,Canticles,DS,0.5,1.0,0.6667,0.0
51,Book,Canticles,GPT,0.0,0.0,0.0,0.0
