id,estc,stc,title,authors,publisher,pubplace,subject_headings,date
A94739,R210349,T1820,"A short catechism about Baptism. By John Tombes, B.D.","Tombes, John, 1603?-1676.",Printed by Henry Hills next door to the sign of the Peacock in Aldersgate street,London,"Catechisms, English; Early works to 1800.; Baptism; Early works to 1800.",1659
A96225,R187728,W1426A,"Egwyddorion a sylfeini crefydd gwedi eu cynnwys mewn catechism byrr yn ôl cyngor y Cymmanfa o Ddifinyddion yn eistedd yn Westminstr, iw arferu trwy deirnas Loegr, a thywysogaeth Cymru. Gwedi eu cyfiethu or Saesonaec ir gamberaec er llessâd ievenctid Cymru.",Westminster Assembly,gan J B tros Edward Brewster,Printiedig yn Llundain,"Church of England; Catechisms.; Catechisms, Welsh; Early works to 1800.",1659
A91890,R208369,R1693,"A briefe catechisme concerning church-governemnt. By that Reverend Divine Mr. Iohn Robinson, and may fitly be adjoyned to Mr. Perkins six Principles as an appendix thereto.","Perkins, William, 1558-1602. Foundation of Christian religion.; Robinson, John, 1575?-1625.",s n,London,"Catechisms, English; Early works to 1800.; Church polity; Early works to 1800.",1642
A83597,R211458,E2453,Votes of Parliament touching the book commonly called The Racovian catechism.,England and Wales. Parliament.,Printed by John Field Printer to the Parliament of England,London,"Racovian Catechism; Censorship; England; Early works to 1800.; Catechisms, Polish; Early works to 1800.; Book burning; England; Early works to 1800.",1652
A89645,R208669,M948,"A little starre, giving some light into the counsels and purposes of God revealed in the Scriptures. Or A catechisme, wherein these ensuing principles. 1. What God is, and how he manifests himselfe. 2 Why he made the world and man. 3. Mans condition, what, 1. by creation. 2. By his fall. 3. By being restored by Jesus Christ. 4 The uses and ends of the law. 5. What the Gospell is. 6. Justification what it is. 7. Sanctification what, and how it is wrought. 8. What repentance is. 9. The use and ends of the Scriptures. 10. What true prayer is. 11. Baptisme, and the Lords Supper, why, and how used. 12. Generall redemption what, and how to be adjudged of. 13. Resurrection and judgement what. 14. Heaven and Hell what, in truth and misterie. All which are briefly by way of question and answer opened and explained. / By VVilliam Mason.","Mason, William, Anabaptist.",Printed by G D for Giles Calvert at the Black Spread Eagle neer the west end of Pauls,London,"Catechisms, English; Early works to 1800.; Christianity; Essence, genius, nature; Early works to 1800.",1653
A87010,R202516,H518,"A brief vindication of three passages in the Practical catechisme, from the censures affixt on them by the ministers of London, in a book entitled, A testimony to the truth of Jesus Christ, &c. / By H. Hammond D.D.","Hammond, Henry, 1605-1660.",Printed for Richard Royston in Ivy lane,London,"Hammond, Henry, 1605-1660.; Practical catechism; Early works to 1800.; Church of England; Catechisms; Early works to 1800.; Testimony to the truth of Jesus Christ, and to our Solemn League and Covenant; Early works to 1800.; Theology, Doctrinal; Early works to 1800.",1648
A87278,R210631,I234,An instruction for all thos that intend to goe to the blessed sacrament of the Lords Supper.,Anonymous,Printed by Francis Leech at the Falcon in Shooe lane,London,"Lord's Supper; Early works to 1800.; Catechisms, English; Early works to 1800.",1646
A85482,R208377,G1389,"Briefe ansvvers to the chiefe articles of religion. By W. Gouge, D.D.","Gouge, William, 1578-1653.",Printed by G M for Edward Brewster and are to be sold at his shop upon Fleet bridge at the signe of the Bible,London,"Christianity; Essence, genius, nature; Early works to 1800.; Catechisms, English; 17th century.",1642
B20332,None,C4196B,"An act published by the General Assembly of Scotland being a forme of examination at the speciall desire of the Kirke, by them thought to be so needfull, that every pastor exhort his flocke to buy the said booke and reade the same in their families, whereby they may be better instructed, and that the same may be read and learned in lector schooles.",Church of Scotland.,First printed at Edinburg by R W And now reprinted at London by B Alsop and are to be sold by Henry Walker,London,Church of Scotland; Catechisms.,1641
B20195,None,C3875,"The Childes catechism wherein the father questions his child, and instructs him to answer compendiously and substantially to all the necessary points of Christian doctrine.",Anonymous,s n,Paris printed,"Catechisms, English; Early works to 1800.; Religious education of young people.",1678
B21355,None,D2159,"A catechism, or, Familiar instructions on the principal points of the Christian religion written for the use of his own family by Mr. Drelincourt.","Drelincourt, Charles, 1595-1669.",Printed for the author and sold by Edward Castle,London,"Reformed Church; Catechisms.; Catechisms, English.",1698
B23108,None,F1729A,"The catechism of the Church of England, poetically paraphrased. By James Fowler","Fowler, James, verse-writer.; Church of England. aut",printed by Tho Hodgkin,London,Church of England; Catechisms; Early works to 1800.,1678
B27829,R216890,P342A,A paraphrase with annotations upon the harder passages of the English catechism,Anonymous,s n,S l,"Catechisms, English; Paraphrases; Early works to 1800.",1674
B24869,None,I1060,"The summe & substance of Christian religion set downe in a catechisticall way, by H.I.","Isaacson, Henry, 1581-1654.",by W Wilson and are to be sold by Richard Thrale at Pauls gate at the signe of the Crosse keyes,Printed at London,"Catechisms, English; 17th century.",1647
B25465,None,K385,"A key to catechisms: or An easie and familiar help for the true and right understanding of the principal substance of all catechisms whatsoever Suited to the meanest capacities, and the weakest memories.",Anonymous,printed for Richard Chiswell and to be sold by Robert Eveleigh bookseller in Exon,London,"Catechisms, English; Early works to 1800.",1682
B24904,None,J77,"Epitome ugaiainonton logon, or, A taste of the truth as it is in Jesus consisting of ten questions and answers, and a brief exposition upon the same : whereunto are added ten generall directions ... intended chiefly for the benefit of my countreymen, kindred, and acquaintance in Lancashire / composed by John Jackson, M.A.","Jackson, John.",Printed by A M for Christopher Meredith,London,"Theology, Doctrinal; Early works to 1800.; Catechisms, English.",1648
