id,estc,stc,title,authors,publisher,pubplace,subject_headings,date
B01388,R176291,A3354A,An answer to Clemens Alexandrinus's sermon upon Quis dives salvetur? What rich man can be sav'd? Proving it easie for a camel to go through the eye of a needle.,"Clement, of Alexandria, Saint, ca. 150-ca. 215. Quis dives salvetur?",s n,London," of Alexandria, Saint, ca. 150-ca. 215. --  Early works to 1800. --  17th century. --  England --  Moral and ethical aspects -- Wealth --  Quis dives salvetur? -- Clement, -- Broadsides --  Humor -- Rich people",1690
A89416,R22194,M31,"A true relation of the proceedings from York and Beverley. Shewing the great power and strength there raised against the Parliament and Hull, under the command of the Lord of Carnarvon, the Lord Rich, Colonell Fielding, Colonell Fielding, Colonell Lunsford, Capt. Butler, &c. Also the bountie of the clergie, and of the gentrie in York-shire, tending to the encreasing and managing of these unhappie proceedings. Likewise some rehearsall of Bishop Williams his sermon before the King, Iuly 24. And of the great hurt that the great recusant, Mr. Beckwith hath received by Sir Iohn Hotham. Sent in a letter from Beverley, to a citizen of good worth in London.",H. M.,Aug 3 London printed for Iohn Iohnson,London," Early works to 1800. -- Carnarvon, Robert Dormer, -- Great Britain --  Earl of, 1587-1658 --  Capt. --  Campaigns -- Warwick, Robert Rich, --  History --  Earl of, 1609 or 10-1643 -- Lunsford, Thomas, -- Williams, Gryffith, 1589?-1672 --  Sir, 1610?-1653? --  Civil War, 1642-1649 -- Fielding, Richard, d. 1650. -- Butler,",1642
B28836,,R678,"A general epistle from the Holy Spirit unto all prophets, ministers, or speakers in the world ... [by] John Reeve and Lodowick Muggleton, the two last spiritual witnesses and alone true prophets of the Holy Spirit by commission from the true God... London, 1653 in the second year of our commission by voice from Heaven.","Reeve, John, 1608-1658.; Muggleton, Lodowick, 1609-1698.",s n,London,"Astrology --  Sermons. --  17th century. -- Sermons, English",1653
B26622,,M966A,"At a council held at Boston in New-England, January 6, 1679 by the council, Edward Rawson, secretary.","Rawson, Edward, 1615-1693.; Massachusetts. Council.",Printed by John Foster,Boston," 17th century. -- Massachusetts --  Sources. --  Colonial period, ca. 1600-1775 -- Sermons, English --  History",1680
B12473,S121163,7021,"A sub-poena from the star-chamber of heauen A sermon preached at Pauls Crosse the 4. of August. 1622. With some particular enlargements which the limited time would not then allow. By Dan. Donne, Master of Arts, and minister of the Word.","Donne, Daniel, d. 1646.",Printed by Augustine Mathewes for Iohn Grismond and are to be sold at his shop in Pauls Alley at the signe of the Gunne,London," 17th century. -- Sermons, English",1623
B03839,R178824,J107,"The Jacobite's new creed, containing the articles of their faith, and doctrine of salvation, as now preach'd and practised, &c. Licensed according to order.",Anonymous,Printed for E Golding,London," Early works to 1800. --  17th century. -- Great Britain --  Humor. --  William and Mary, 1689-1702 -- Jacobites -- Political satire, English --  History -- Religious satire, English --  Humor",1693
B06138,,T1602,"To the Reverend Dr. Beveridge, an eucharisticon, occasion'd by his seasonable and excellent sermon about restitution, on *St. Luke 19.8. preach'd at St. Laurence's London, Tuesday, March 17. 1690.",Anonymous,s n,London," Early works to 1800. -- Beveridge, William, 1637-1708",1691
B09463,R223722,M1122,"Little flocks guarded against grievous wolves. an address unto those parts of New-England which are most exposed unto assaults, from the modern teachers of the misled Quakers.  In a letter, which impartially discovers the manifold haeresies and blasphemies, and the strong delusions of even the most refined Quakerism: and thereupon demonstrates the truth of those principles and assertions, which are most opposite thereunto.  Withjust reflections upon the extream ignorance and wickedness; of George Keith; who is the seducer that now most ravines upon the churches in this wilderness / written by Cotton Mather.","Mather, Cotton, 1663-1728.",Printed by Benjamin Harris John Allen at the London Coffee House,Boston,"Society of Friends --  Early works to 1800. -- Sermons, American -- Keith, George, 1639?-1716. --  Massachusetts -- Congregational churches --  Controversial literature.",1691
A89104,R205297,M1899,"A message from the Isle of Wight, brought by Major Cromwell. Coll: Hammond sent for by the Lord Generall, and Col: Ewers to be at the Isle of Wight. Also the chiefe heads of Bishop Ushers sermon. And His Majesties letter to the Parliament: brought this present Munday, Novemb. 27. 1648.",England and Wales. Sovereign (1625-1649 : Charles I).,Printed for R Smithurst neer Pye corner,London," History -- Great Britain --  Civil War, 1642-1649 --  Early works to 1800.",1648
A83012,R207678,E18,"The confident questionist questioned: or, the examination of the doctrine delivered by Mr. Thomas Willes in certain queries. Published by Mr. Jeremiah Ives. Examined by counter-queries. By N.E. with a letter of Mr. Tho. Willes.",N. E.,printed for Tho Newberry and are to bee sold at his shop in Sweetings Rents in Cornhil near the Exchange,London," 17th century. --  Early works to 1800. --  Confidence questioned. -- Ives, Jeremiah, fl. 1653-1674. -- Sermons, English --  Appointment, call, and election -- Willis, Thomas, 1619 or 20-1692. -- Clergy",1658
