id,estc,stc,title,authors,publisher,pubplace,subject_headings,date
A83515,R201273,E237,"The third part of Gangræna. Or, A new and higher discovery of the errors, heresies, blasphemies, and insolent proceedings of the sectaries of these times; with some animadversions by way of confutation upon many of the errors and heresies named. ... Briefe animadversions on many of the sectaries late pamphlets, as Lilburnes and Overtons books against the House of Peeres, M. Peters his last report of the English warres, The Lord Mayors farewell from his office of maioralty, M. Goodwins thirty eight queres upon the ordinance against heresies and blasphemies, M. Burtons Conformities deformity, M. Dells sermon before the House of Commons; ... As also some few hints and briefe observations on divers pamphlets written lately against me and some of my books, ... / By Thomas Edvvards Minister of the Gospel.","Edwards, Thomas, 1599-1647.",Printed for Ralph Smith at the Bible in Cornehill,London,"Christian sects --  Early works to 1800. -- Great Britain -- Lilburne, John, 1614?-1657 --  17th century --  Church history --  England",1646
A82859,,E1620,"It is this day ordered by the Lords and Commons in Parliament, that all ministers in their severall churches on Wednesday next at the publike fast, and at all other times afterwards in their prayers before their sermons, shall earnestly and particularly pray for the special assistance and blessing of God upon the assembly of divines and others, appointed to meet at Westminster on Saterday[sic] the first day of July next to be consulted with by both houses of Parliament in matters concerning religion. And that this order be forthwith printed and sent to all parish churches. Jo. Brown Cler. Parliamentorum.",England and Wales. Parliament.,for John Wright in the Old Baily,Printed at London, 17th century. -- Fast-day sermons -- Westminster Assembly (1643-1652),1643
B17774,R35758,B2493,"The Whole book of Psalms: collected into English metre, by Thomas Sternhold, John Hopkins, and others. ; Set forth and allowed to be sung in all churches, of all the people together, before and after morning and evening prayer; and also before and after sermons; and moreover in private houses for godly solace and comfort: laying apart all ungodly songs and ballads; which tend only to the nourishing of vice, and corrupting of youth.","Hopkins, John, d. 1570.; Sternhold, Thomas, d. 1549.",Printed by J M for the Company of Stationers,London,"Church of England --  Early works to 1800. -- Bible. --  Prayer-books and devotions --  Paraphrases, English --  Psalms -- Psalters --  O.T.",1668
B03688,R178249,H2816,"An account of Mr. Edward Sclater's return to the communion of the Church of England and of the recantation he made at the Church of St. Mary Savoy, the fifth of May, 1689. Dr. Burnet, Bishop of Sarum, preaching the sermon there that forenoon. / By Anthony Horneck D.D.","Horneck, Anthony, 1641-1697.",No publisher,No pubplace,"Anglican converts --  Early works to 1800. --  17th century. --  Controversial literature -- Sclater, Edward, 1623-1699? -- Catholic Church --  England",1689
B03994,R179531,L1382C,"A letter from a gentleman in Buckinghamshire near Water-Stratford. To his brother Mr. Thomas Pickfat at the Three Kings in White-cross-street, in London. Giving an account of the doctrine and ... the behaviour of Mr. Mason ... with the hymns they usually sing.",Anonymous,Printed for Randal Taylor,London,Church of England --  Early works to 1800. --  Sermons --  History and criticism,1694
A84987,R201150,F2355,"A full relation concerning the wonderfull and wholsome fountain· At first discovered in Germany, two miles from the city of Halberstadt, by a certaine youth upon the fifth of March 1646. as he was comming from schoole. And now dispersed into fifteen severall springs. With a specification of those persons, which (as certaine letters do informe) through Gods assistance and blessing, were in a very short time cured by use of these waters. A list of the diseases, how long the diseased had them, with the place of their birth and abode. And the forme of the prayer, which daily after the sermon, and set houres of devotion is usually said.",Anonymous,Printed by T W for Joshua Kirton and are to be sold at his shop at the signe of the White Horse in Pauls Church yard,London, Early works to 1800. -- Springs --  Halberstadt --  Germany -- Mineral waters,1646
A86098,R201465,H115,"A touch-stone, or, Triall and examination of a sermon, preached by Master Haslewood of Sutton at Hone in the county of Kent: and upon true touch, found to be reprobate silver, (false, and dangerous doctrine) wherein are handled these 3. particulars, 1. The unlawfulness to call any meeting house, the house of God. 2. The church. 3. The temple of God. / By R.H. a lover of truth.","R. H., a lover of truth.",Printed for Giles Calvert and are to be sold at the Black spred Eagle at the West end of Pauls,London," Nomenclature -- Church buildings --  Early works to 1800. -- Haslewood, Robert, b. 1595 or 6",1647
A83979,R231212,E3003A,"England's new vvonders or Four strange and amazing relations that have lately come to pass in England I. A strange and wonderfull account of one Mary Blackstone, near Hull in York-shire, who after ten years barrenness, was with child of a [mo]nstrous birth, and delivered after wo [sic] years going of it in having 3 heads, each an eye in the forehead, serpents twisting about each neck, 4 arms, and 4 legs, each 10 fingers and toes on the hands and feet; the privities of male and female. With the examination of the mother by the miller, what answer she [ga]ve, her prayer and advice to all women. Not to wish for things God sees not convenient to give lest fearfull punishments overtake them, with the [...] for her funeral sermon, before she dyed, and the substance of the sermon. By D. Boase. [I]I. An account of a mighty serpent, and the appearing of a terrible fiery serpent, at [...] Bedfordshire. ... [I]V. An account of two enemies fighting in the [...] in Bri[t]any in France. All very terrible and wonderful. Licensed according to print.",Anonymous,Printed for J Blare at the Looking Glass off London Bridge and reprinted at Aberdeen by Iohn Forbes,Aberdeen, Early works to 1800. --  17th century. -- Great Britain -- Monsters --  1689-1714 -- Funeral sermons --  History --  England,1697
A86442,R178082,H2368A,"Some observations upon a sermon bearing the name of Mr. Astley's; preached in opposition to a testimony, and sign unto them, of their spiritual nakedness; wherein he is found to wrest and pervert the scriptures : to be ignorant of the truth, as it is in Jesus; and consequently no minister of Christ, &c. / By a lover of the truth, John Hogg.","Hogg, John, fl. 1675-1698.",s n,London," Early works to 1800. -- Astley, Richard. --  Doctrines -- Society of Friends --  England",1675
A96439,R186541,W2032A,"Faithful warnings, expostulations and exhortations, to the several professors of Christianity in England, as well those of the highest as the lowest quality. with a testimony against divers great errors in some teachers, and other hearers ... to which is added, two letters from the minister of Port-Royal in Jamaica, giving a full account of the great destruction that came on that place (for its great sins) by the dreadful earthquake that was there in the year 1692. As also, an epistle of Bartholomew Tertian, written to the Waldensian churches, wherein are many wholesome Christian exhortations and reproofs, of sports, dancing, &c. ... / By Joan Whitrowe.","Whitrowe, Joan.",Printed and are to be sold by E Whitlock,London, Early works to 1800. --  Quaker authors --  Sermons -- Society of Friends -- Apocalyptic literature,1697
