tcp_id,c_id,c_group,citation
A40728,0,0,John 2.15
A40728,1,1,Mark 11.17
A40728,2,2,Judges 6.13
A40728,3,3,2 Samuel 24.14
A40728,4,4,Judges 9.23
A40728,5,5,Luke 19.41
A40728,6,6,Romans 10
A40728,7,7,Luke 9.44
A40728,8,8,Luke 10.5
A40728,9,9,Psalms 68.30
A40728,10,10,Genesis 49
A40728,11,11,Psalms 106.23
A40728,12,12,Exodus 33.15
A40728,13,13,Luke 8.37
A40728,14,14,Luke 24.29
A40728,15,15,Malachi 3.6
A40728,16,16,Jonah 2.8
A40728,17,17,Luke 1.43
A40728,18,18,Luke 1.6
A40728,19,19,Matthew 3.15
A40728,20,20,Ecclesiastes 1.1
A40728,21,21,Matthew 9.23
A40728,22,22,Matthew 9.23
A40728,23,23,Luke 1.28
A40728,24,24,Isaiah 59.2
A40728,25,25,Psalms 77.9
A40728,26,26,Psalms 145.9
A40728,27,27,Genesis 3
A40728,28,28,Genesis 45.28
A40728,29,29,Luke 2.35
A40728,30,30,Genesis 2.24
A40728,31,31,Luke 19.10
A40728,32,32,Genesis 37
A40728,33,33,Isaiah 49.15
A40728,34,34,Zechariah 28
A40728,35,35,Hebrews 12.11
A40728,36,36,Psalms 119.71
A40728,37,37,Luke 16.26
A40728,38,38,Habakkuk 1.13
A40728,39,39,Leviticus 10.3
A40728,40,40,1 Corinthians 14.40
A40728,41,41,2 Corinthians 13.11
A40728,42,42,2 Thessalonians 2.4
A40728,43,43,1 Samuel 5
A40728,44,44,2 Corinthians 6.15
A40728,45,45,Psalms 78.3
A40728,46,46,Exodus 5
A40728,47,47,Habakkuk 2.13
A40728,48,48,Romans 6.21
A40728,49,49,1 Samuel 13.13
A40728,50,50,Luke 8.14
A40728,51,51,Psalms 39.6
A40728,52,52,Isaiah 36.6
A40728,53,53,Jeremiah 2.19
A40728,54,54,Isaiah 38.8
A40728,55,55,Psalms 132.4
A40728,56,56,Luke 15.8
A40728,57,57,Psalms 30.7
A40728,58,58,Genesis 32.26
A40728,59,59,Psalms 24.6
A40728,60,60,Canticles 3.1
A40728,61,61,Proverbs 13.4
A40728,62,62,Numbers 22.10
A40728,63,63,John 18.38
A40728,64,64,Matthew 8.20
A40728,65,65,Isaiah 21.11
A40728,66,66,Ecclesiastes 3.1
A40728,67,67,Matthew 6.3
A40728,68,68,Isaiah 55.6
A40728,69,69,Genesis 27.34
A40728,70,70,Matthew 27.11
A40728,71,71,Isaiah 65.1
A40728,72,72,Acts 9
A40728,73,73,John 6.26
A40728,74,74,1 Corinthians 12.14
A40728,75,75,Psalms 77.8
A40728,76,76,Acts 19.25
A40728,77,77,1 Timothy 1.6
A40728,78,78,Job 13.15
A40728,79,79,1 Corinthians 2.23
A40728,80,80,Ephesians 4.3
A40728,81,81,Genesis 37.35
A40728,82,82,2 Samuel 18.33
A40728,83,83,Jeremiah 6.26
A40728,84,84,2 Corinthians 7.10
A40728,85,85,John 11.36
A40728,86,86,Isaiah 53.3
A40728,87,87,Psalms 16.11
A40728,88,88,Hebrews 13.20
A40728,89,89,Isaiah 9.6
A40728,90,90,Galatians 5.22
A40728,91,91,Romans 10.15
A40728,92,92,Matthew 5.24
A40728,93,93,Jude 5.15
A40728,94,94,1 Corinthians 1.12
A40728,95,95,Matthew 27.35
A40728,96,96,Judges 17.6
A40728,97,97,Psalms 102.13
A40728,98,98,Psalms 110*.3
A40728,99,99,Ephesians 1.18
A40728,100,100,Matthew 16.17
A40728,101,101,Acts 17*.23
A40728,102,102,Canticles 3.2
A40728,103,103,Isaiah 45.19
A40728,104,104,Psalms 105.3
A40728,105,105,Hebrews 6.10
A40728,106,106,Psalms 77.13
A40728,107,107,Matthew 24.26
A40728,108,108,Deuteronomy 4.29
A40728,109,109,Psalms 29.9
A40728,110,110,Matthew 21.13
A40728,111,111,1 Corinthians 11.22
A40728,112,112,John 4.21
A40728,113,112,John 4.23
A40728,114,113,1 Corinthians 11.22
A40728,115,114,Leviticus 26.2
A40728,116,115,Matthew 19*.6
A40728,117,116,Malachi 1.7
A40728,118,117,Romans 1.1
A40728,119,118,Matthew 15.14
A40728,120,119,Luke 21.15
A40728,121,120,Luke 11.52
A40728,122,121,2 Peter 3.16
A40728,123,122,Matthew 20.1
A40728,124,123,Malachi 2.7
A40728,125,124,Luke 2.7
A40728,126,125,Mark 15.27
A40728,127,126,Revelation 2.1
A40728,128,127,Matthew 6.5
A40728,129,128,Luke 11.43
A40728,130,129,Psalms 37.11
