tcp_id,n_id,id,n_idx,text
A19277,0,1,0,(REF0) & (REF1) (REF2) (REF3)
A19277,1,15,0,Symonides
A19277,2,16,0,Pindarus.
A19277,3,17,0,Aristot.
A19277,4,19,0,(REF0)
A19277,5,20,0,(REF0)
A19277,6,20,0,(REF0)
A19277,7,31,0,(REF0)
A19277,8,33,0,(REF0)
A19277,9,34,0,james
A19277,10,34,0,(REF0)
A19277,11,37,0,(REF0)
A19277,12,38,0,(REF0)
A19277,13,39,0,(REF0)
A19277,14,45,0,(REF0)
A19277,15,46,0,Sizach.
A19277,16,55,0,(REF0)
A19277,17,57,0,(REF0)
A19277,18,60,0,(REF0)
A19277,19,68,0,(REF0) (REF1)
A19277,20,68,0,(REF0)
A19277,21,71,0,(REF0)
A19277,22,75,0,Zopho.
A19277,23,75,0,malachi
A19277,24,75,0,(REF0)
A19277,25,76,0,(REF0) (REF1) (REF2)
A19277,26,77,0,(REF0)
A19277,27,78,0,(REF0)
A19277,28,79,0,(REF0)
A19277,29,83,0,(REF0)
A19277,30,84,0,(REF0) (REF1)
A19277,31,85,0,(REF0)
A19277,32,88,0,(REF0)
A19277,33,89,0,(REF0)
A19277,34,89,0,(REF0)
A19277,35,94,0,(REF0)
A19277,36,98,0,(REF0)
A19277,37,102,0,(REF0)
A19277,38,103,0,(REF0)
A19277,39,105,0,(REF0)
A19277,40,105,0,Zanch.
A19277,41,105,1,To.
A19277,42,105,2,2 lib.
A19277,43,105,3,3 3 712
A19277,44,110,0,(REF0)
A19277,45,128,0,(REF0)
A19277,46,133,0,(REF0)
A19277,47,133,0,(REF0)
A19277,48,141,0,(REF0)
A19277,49,142,0,(REF0)
A19277,50,144,0,(REF0)
A19277,51,145,0,(REF0)
A19277,52,147,0,(REF0) (REF1) (REF2)
A19277,53,150,0,(REF0)
A19277,54,150,0,(REF0)
A19277,55,152,0,(REF0)
A19277,56,152,0,(REF0)
A19277,57,152,0,(REF0) (REF1) (REF2)
A19277,58,156,0,(REF0)
A19277,59,157,0,(REF0)
A19277,60,163,0,(REF0)
A19277,61,165,0,(REF0)
A19277,62,165,0,vers.
A19277,63,165,1,23
A19277,64,166,0,(REF0)
A19277,65,166,0,(REF0)
A19277,66,171,0,(REF0)
A19277,67,176,0,(REF0)
A19277,68,203,0,(REF0)
A19277,69,203,0,(REF0) (REF1)
A19277,70,205,0,Zoph.
A19277,71,205,1,2 1
A19277,72,209,0,(REF0)
A19277,73,210,0,(REF0)
A19277,74,212,0,(REF0)
A19277,75,213,0,(REF0)
A19277,76,215,0,Verse.
A19277,77,215,1,28
A19277,78,225,0,(REF0)
A19277,79,227,0,Aprill 8 1580
A19277,80,227,0,(REF0)
A19277,81,235,0,Text 6
A19277,82,245,0,(REF0) (REF1)
A19277,83,249,0,(REF0)
A19277,84,253,0,(REF0) (REF1)
A19277,85,262,0,(REF0)
A19277,86,265,0,(REF0) &
A19277,87,267,0,(REF0)
A19277,88,269,0,(REF0)
A19277,89,273,0,(REF0)
A19277,90,275,0,(REF0)
A19277,91,278,0,(REF0)
A19277,92,278,0,(REF0)
A19277,93,279,0,(REF0)
A19277,94,281,0,(REF0) (REF1) (REF2)
A19277,95,289,0,(REF0)
A19277,96,294,0,(REF0)
A19277,97,300,0,(REF0)
A19277,98,301,0,(REF0)
A19277,99,305,0,(REF0) (REF1) (REF2) (REF3)
A19277,100,306,0,(REF0)
A19277,101,309,0,1 (REF0)
A19277,102,309,0,(REF0)
A19277,103,311,0,(REF0)
A19277,104,314,0,(REF0)
A19277,105,318,0,(REF0)
A19277,106,318,0,(REF0)
A19277,107,322,0,(REF0)
A19277,108,322,0,1 (REF0)
A19277,109,323,0,(REF0)
A19277,110,325,0,(REF0)
A19277,111,330,0,(REF0)
A19277,112,338,0,(REF0)
A19277,113,339,0,(REF0)
A19277,114,341,0,(REF0) (REF1)
A19277,115,341,0,oll.
A19277,116,341,1,1 13
A19277,117,345,0,Aeneid 6 Olimp.
A19277,118,345,1,2 Aretius loc.
A19277,119,345,2,56
A19277,120,353,0,To.
A19277,121,353,1,1 51 4 36
A19277,122,359,0,(REF0)
A19277,123,360,0,vers.
A19277,124,360,1,44
A19277,125,368,0,(REF0)
A19277,126,369,0,(REF0)
A19277,127,372,0,(REF0)
A19277,128,373,0,(REF0)
A19277,129,373,0,(REF0)
A19277,130,376,0,(REF0)
A19277,131,379,0,Ambrosius To.
A19277,132,379,1,1 li de B. Mor.
A19277,133,379,2,2 pag.
A19277,134,379,3,243
A19277,135,385,0,Hier.
A19277,136,385,1,in Esa.
A19277,137,385,2,to.
A19277,138,385,3,5 65 Pa.
A19277,139,385,4,244 b.
A19277,140,389,0,Aug.
A19277,141,389,1,ad Hefic.
A19277,142,389,2,To.
A19277,143,389,3,2 epi.
A19277,144,389,4,80 fol.
A19277,145,389,5,350
A19277,146,392,0,(REF0)
A19277,147,394,0,(REF0)
A19277,148,404,0,(REF0)
A19277,149,404,0,(REF0) (REF1)
A19277,150,407,0,(REF0) & 53 4
A19277,151,407,0,(REF0)
A19277,152,407,0,(REF0)
A19277,153,410,0,(REF0)
A19277,154,410,0,(REF0)
A19277,155,413,0,(REF0)
A19277,156,414,0,(REF0)
A19277,157,416,0,1 Reason.
A19277,158,417,0,(REF0)
A19277,159,420,0,(REF0)
A19277,160,422,0,(REF0)
A19277,161,423,0,(REF0) (REF1) & 17 5 (REF2)
A19277,162,426,0,(REF0)
A19277,163,426,0,(REF0)
A19277,164,431,0,(REF0)
A19277,165,432,0,(REF0)
A19277,166,434,0,(REF0)
A19277,167,436,0,(REF0)
A19277,168,436,0,(REF0)
A19277,169,446,0,(REF0)
