tcpID,sourceline,sourcepos,context
A14670,136,47,"The word reprobatus<CITATION> doth not alwaies signifie, , as we take it for one in the state of the dam∣ned, for a cast-away, but for one reproo∣ued of God."
A14670,270,973,"Plinie writes of the Almond tree that it buds in Ianuarie, and brings forth fruit in March: to which these worthily may be likened, beeing so preprope∣rous and bold to were Aarons Ephod and his linnen garment before they be fit to put on the Christians cloake, wher∣of<CITATION> Tertullian speakes; who will touch the holy things before they wash them∣selues  at the brasen laver of the sanctua∣rie, wanting both the Vrim of know∣ledge, and Thummim of integritie: they ranne, saies the Spirit, but I sent them not, and we knowe none can preach but he that is sent."
A87797,154,0,"I know there are that deny this truth, <CITATION> that temporal death is the punishment of sin, as Pelagians and Socini∣ans upon different grounds and reasons, which I shall here neither canvase, much lesse go about to confute; only propound to sober judgements that of the Apostle; and , as he said, Paul for my money, Rom."
A03753,299,31,"It is true: but yet marke the distinction that Tertullian giues here:<CITATION> All flesh is not the same flesh, in equality of prerogatiue; but, all flesh is the same flesh, in community of nature."
A03753,554,51,"So likewise, though happely af∣fliction may bring a man to so lowe an ebbe and declination of fortune, as to leuell him with the ground; though death bring him yet lower, and lay him in his graue; yea, though his race, and his name, and his memory perish  among the liuing, as if he had neuer beene; yet there is a root still left in the earth, the body that sleepes in the dust, and that body is capa∣ble of a resurrection: as soone as the Spring of Iudgement shall begin to aduance, and that glorious Sunne of righteousnesse to appeare and shine in his strength; Surget caro, & qui∣dem  omnis, & quidem ipsa, & quidem integra, (as Tertullian speaketh) flesh shall rise,<CITATION> and all flesh shall rise, and that flesh shall rise which was buried before, and it shall rise with a full proportion of feature and perfection of parts without any diminution at all."
A03753,584,38,"And surely it is a good rea∣son that Tertullian giues for it,<CITATION> because (saith he) it stands in better congruitie with the na∣ture and maiestie of God, to restore to a being that which he once reiected, then vtterly to de∣stroy that which himselfe once made, and liked well too."
A87420,220,2277,"Well, walk with God, and all this yours: when others are sent away with a Depart from me,<CITATION> separated from the Presence of the Lord, you shall be with him, and lie in his bosome, in whose Presence is fulness of joy, and at whose right hand are pleasures for evermore."
A60325,258,742,"And can do all that he can will, without impediment: according to the say∣ing of Tertulian,<CITATION> To be able with God, is to will, and not to be able, is not to will."
A80547,331,51,"Tertullian hath a pressing Reason; and <CITATION> he presseth it too: Because Man is gra∣ciously made by God, a free Creature, undetermined in his Actions, untill he be determined by himself; And therefore, may not be drawn away from Sinning by Omnipotency; because God useth not  (neither doth it agree with him) to re∣peal his own Ordinances, or to proceed against them; As, Mercy may not do any thing, contrary to Providence."
A80547,475,657,"This ye may read in St. <CITATION> Justin, in the African Doctor Tertullian, and in Cyprian of Carthage: Likewise in others, apologizing for the Christians."
A27428,164,135,"There's a very remarkable<CITATION> passage in Tertullian's Apology, Who forces a Philosopher to sacrifice, &c.?"
A32857,1612,65,"Nay this you may do, though in your own opinion it be unlawful, because<CITATION> Bellarmine, a man with you of ap∣proved vertue, learning, and judgement, hath declared his opinion for the lawfulness of it in saying, that want of power to maintain a rebellion, was the only reason that the primitive Christians did not rebel against their persecuting Emperors."
A32857,2213,153,"And yet the Power of Christs Life, leaves us not here neither: Nay, all this is performed only to make us capable of greater blessings yet.<CITATION> For, by our sanctification and new-birth, we are (saith Tertullian) Restitutioni inaugurati, destin'd and consecrated to a glorious Resurre∣ction."
A48849,359,23,So St. Cyprian<CITATION> declares oftentimes in his Writings.
A48849,641,0,"For their Doctrine of Image-Worship, than which nothing can be more contrary to the Scriptures, as they were understood by the Pri∣mitive <CITATION> Fathers; we know it was establi∣shed by the second NicenThe English, and French, and Germans of that Age, called it Pseudosyno∣dum, the Mock-Synod, of Nice; or rather of Constantinople, because it began and ended in that City."
A48849,962,24,And another Apostle writ<CITATION> purpose∣ly against it as being a Superstition that some would then have brought into the Church.
A48849,981,19,There are many things in both<CITATION> to the contrary.
A28266,134,1377,"Yes, yes, his unheard of silence, his unpalallel'd Patience in the midst of so many Injuries, so many Calumnies, so many Clamorous, Outcries, and falfe Depositions of per∣jur'd Witnesses, more than sufficiently declare his Divini∣ty and his Innocency both at once: for, as the Learned Ter∣tullian observes excellently well, he must needs be a God, who be thus accus'd, and thus abus'd, had nothing in him of the Troubles, the Disquiets, or the Impatience of Man; nihil de impatientia hominis imitatus est.<CITATION> Pilate himself admires his Silence (Mat."
A01575,211,119,"Tertullian hath made an excellent Treatise of Patience, full of fragrant and odoriferous flow∣ers,<CITATION> whereof one is fit vnto this purpose; Satis i∣doneus est patientiae sequester Deus, si iniuriam deposueris penes eum, vltor est, si damnum restitu∣tor est, si dolorem medicus est, si mortem resuscita∣tor est; Oh well is thee if thou make GOD the Vmpier of thy patience."
A50772,341,67,"1. to be Gods usuall course (when he means his rods shall smart to the quick) to brine them in shame;<CITATION> and if shame will serve turn and spare blood, he stays there and proceeds no farther."
A50772,886,16,"4, our Church and State have those stars within them, (and O that we were so wise to get above them) those stars, I say, that have fought in their order against us,<CITATION> and without which God uses not to fight with us; the Sun shines naturally, but is eclipsed accidentally, so God loves his own freely, out of his gracious inclina∣tion, but his frowns are forced,Jer."
A45465,2589,11,"Optandum esset ut in simplici Virginitate serva∣retur navis,<CITATION> &c. It were to be wished, that the Ship, our Souls, could be kept in its simple Virginity, & never be in danger of either leak or ship∣wrack."
A45465,8542,47,"16 that there  was not any means in nature,<CITATION> which could make the Christian Re∣ligion contemned and hated, but only this pestilent custom, of ne∣ver altering any customs or laws, though never so unreasonable: , &c. 'tis not possible that ever any nation should hate and fly from this greatest blessing that ever was bestowed upon mankind, to wit, the knowledg and worship of God, unless being carried on by custom they resolved to go the old way to Hell, rather then to venter on a new path to Heaven.. p. 1."
A23572,152,520,"And Saint Iohn, fly from Idols, not from Idolatry, but Idols that<CITATION> may occasion it; etiam Draco terrenus de longinquo non minus spiritu absorbet alites: The Babylonian Dragon willrom."
A40636,88,261,"'Twas Lucian's observation in his pere∣grinus, <CITATION> who speaking of his imprison∣ment, tells us 'tis incredible what zeal, and celerity the Christians expressed in visiting and relieving of him; in such cases Christians were wont to spare for ."
A63888,1145,1478,"<CITATION> No man can tell but he that loves his children, how many delicious accents make a mans heart dance in the pretty conversation of those dear pledges; their chil∣dishnesse, their stammering, their little angers, their innocence, their imperfections, their necessities are so many little emanations of joy  and comfort to him that delights in their persons and society; but he that loves not his wife and children, feeds a Lionesse at home, and broods a nest of sorrowes; and blessing it self cannot make him happy; so that all the commandements of God injoyning a man to love his wife, are nothing but so many necessities and ca∣pacities   of joy."
A63888,2269,726,"Yes: But he was put into a Cauldron of scalding lead and oyl, before the Port Latin in Rome, <CITATION> and scaped death by miracle, though no miracle was wrought to make him scape the torture: And besides this, he lived long in ba¦nishment, and that was worse then Saint Peters chains: Sanctus Petrus in vinculis, & Johannes ante portam latinam, were both dayes of Martyrdom and Church Festivals: and after a long and  laborious life, and the affliction of being detained from his crown, and his sorrows for the death of his fellow-disciples, he dyed full of dayes and sufferings: And when Saint Paul was taken into the Apostolate, his Commissions were signed in these words; I will shew unto him how great things he must suffer for my Name: and his whole life was a continuall suffering: Quotidiè morior was Acts 9."
A63888,3520,1363,"It was a vast power these men had, to be in proportion to their greatest honour: they had  power of bidding and dissolving publick meetings, of indicting so∣lemnities of religion; just as the Christian Bishops had in the be∣ginning of Christianity; they commanded publick fasts, at their indiction onely they were celebrated; Benè autem quod & Episcopi <CITATION> universae plebi mandare jejunia assolent; non dico industriâ stipium con∣ferendarum, ut vestrae capturae est, sed interdum, & aliquâ sollicitudinis Ecclestasticae causâ."
A63888,3609,937,"But if they be permitted it is consider∣able whither the example may drive: <CITATION> Petulans mulier quae usurpa∣vit docere, an non utique & tingendi jus sibi pariet?"
A10657,300,19,"Princes doe so belong to God, as that he holdeth all the proprie∣tie solely in himselfe, transferreth it not upon any other.<CITATION> A Deo secundi, post Deum primi, soli Deo subjecti, saith Ter∣tullian."
A10657,311,56,"Inde potestas unde & spiritus,<CITATION> So Tertullian,Aug."
A10657,573,0,"To honour them in our <CITATION> Prayers, for their persons, their lives, their crownes, their government, their victories, their posteritie, their salva∣tion, 1 Tim."
A10657,583,35,"13, 14.<CITATION> It was the dignity and practice of the ancient Chri∣stians thus to doe, as they who write their Apologies against the calumnia∣tions of Heathen adversaries doe still observe: whereby they did not onely  discharge the conscience of loyall and dutifull subjects to their soveraigne, but also of wise and wary Christians to∣wards their profession, thereby putting to silence the ignorance of foolish men, who, either unable, or unwilling, to distinguish between the errors of Chri∣stians and their Religion, would have undoubtedly laid the envie of such diso∣bedience, not upon the weaknesse of the men, but upon the doctrine which they obeyed: as the Apostles, Saint Peter and Paul, doe both observe, 1 Tim."
A10657,762,4,"Fathers, which is a<CITATION> name of Pietie, as well as of Power."
A10657,1088,27,And indeed give mee leave to bee your Remembrancer.<CITATION> Very great Prin∣ces have had theirs.
A13733,616,1286,"One man, no man: and therefore although all the Heretikes in the world did make way for him, yet must he haue more time to establish their blasphe∣mies, then the age of one man, because <CITATION> there must be prescription, and precedents, vpon which he must build, if he will preuaile any thing with settled Chri∣stians; and how, I pray you, can one man prescribe?"
A13733,834,1365,"Christ was borne of the Virgin, clauso v∣tero, the wombe being shut: Directly contrary to the cause of his presentation to the Lord in the Temple, recorded by Luke 2.23. the Euangelist out of Exod 13.2. the Law; Euery male, that openeth the wombe, shall bee called Holy to the Lord: by which yet there hapned no breach of vir∣ginitie, since she Luke 1.31. knew no man, being, as Tertullian <CITATION> saith, A Virgin, and not a Virgin; a Virgin as tou∣ching man, and not a Virgin, as touching childe-bearing."
A13733,866,1471,"8. they take to bee personall, whereas it is the succession of Doctrine, that <CITATION> prooueth a Church to be Apostolicall."
A13733,873,2398,"&c. of Christopher, Ka∣therine, George, and other fayned Saints; and so by their owne generall confession, the worshipping of these is palpable Idolatry, or else they are Images and re∣semblances of the true God, & so not the true God: (for, nulum simile est idem) and so indeed a false god; (for, inter verum & falsum nō est medium,) and there∣by, according to their owne definition, they com∣mit grosse Idolatry, by giuing the worship of the true God, to that which indeede is no god, but a meere creature, as <CITATION> Tertullian defineth, that the con∣secration of an Image is Idolatry."
A13733,1000,1143,"For to this Article speaketh, First, Tertullian, when <CITATION> hee saith, that Christians pray for the safetie of the Romane Empire, because by the course thereof the great Persecutions which must come by An∣tichrist, are put off and hindred."
A13733,1002,898,"For to this Arti∣cle  speaketh, First, Tertullian, who in full assurance of what he speaketh, oftentimes <CITATION> vseth these words, Babylon, in our Apostle Saint IOHN, beareth the fi∣gure of the Citie of Rome; therefore great, and proud by her Kingdome, and a destroyer of the Saints."
A13733,1073,874,"Concilij, 8. eight Toletan, where they all accord to the wordes of K. Reccesiunthus, saying, the cause of gouerning the mem∣bers, is the saluation of the head: and the happinesse of the people, the Princes clmencie: and seuerally whenso∣euer they had iust occasion to manifest, or demon∣strate their most respectfull and bounden obedience to Regall Soueraignety, as witnesse for the Latine Fa∣thers, Tertullian, when he saith; <CITATION> we reuerence the Em∣perour, as is lawfull for vs, and expedient for him, euen as a man second to God, and obtayning from God, whatsoeuer he is, and inferiour to God only: for so is he superiour vn∣to all others, as he is inferiour to the true God only: and for the Greeke Church, Chrysost."
A13733,1117,1367,"They grant the generall, concerning the flying from the compa∣nie of Heretikes; they would lay that in particular to our charge, which we well proue vpon them, on∣ly because they are in subiection vnder the Great Antichrist, from whose heauie yoke our happie de∣parture is throughly iustified by those fore-alleaged places of Scripture, in the iudgement of Tertullian, <CITATION> who saith, that wee Christians are remooued from dwelling in that Babylon, mentioned in the Reuelation of Iohn, albeit, not as yet from the suggestion."
A13733,1153,1263,"Because as in a Fornace the Gold is purged, but the drosse consumed: so God permitteth Here∣sies alwayes in the World, that the faithfull by their tryall, may bee truely purged, when the wicked by their wilfull Apostasies shall bee knowne, as Tertul∣lian <CITATION> therefore said very well; Haereses ad hoc sunt, vt fides habendo tentationem, habeat etiam probationem; that is, Therefore are heresies, that faith by them hauing a triall, might receiue an approofe."
A13733,1155,175,"Irenie, <CITATION> Tertullian, Epiphan."
A13733,1155,1653,"&c. other such: or following after, as his dregs, or relikes, retained in the Church of Christ, by some Reformers of Ido∣latrous abuses, too much deuoted to pretended An∣tiquities, through the subtiltie of Satan, who will haue the Prouerbe verified, Vbi vber, ibi tuber, Fat∣nesse breedeth filthinesse, as Tertullian <CITATION> well obserued; Faciunt fauos & vespae; faciunt Ecclesias & Marcionitae; Waspes make Hony-combes, and Marcionites make As∣semblies."
A13733,1179,1272,"As∣pis is said to draw <CITATION> poyson from the Viper, that in him may be fulfilled what was Ezech."
A13733,1183,1326,"50 Donatists; some to buy the places of honour and charge in the Church with money, and to pester it with Traditions, as that <CITATION> wicked Simon Magus, and his associates: some to let it out to hire vnto single men onely, were they neuer so sensuall, as Epiph."
A13733,1209,1100,"For lo, a dou∣ble rule, fit for all Gouernours to obserue for their quietnesse against all such disturbances: the former  from <CITATION> TERTVLLIAN, Duritia vincenda est, non sua∣denda; Stubbornenesse must by force bee ouercome, and not be perswaded by any fayre meanes."
A13733,1352,669,"For, as saith TERTVLLIAN, <CITATION> Tu qui proinde quaeris, spe∣ctans ad eos, qui & ipsi quaerunt, dubius ad dubios, certus ad incertos, caecus ad caecos, in foueam deducaris, necesse est: Thou who therefore searchest (to finde,) looking to them who also seeke, doubtfull to the doubtfull, certaine to the vncertaine, blinde to the blinde, it must needs be, that thou must be led into the ditch."
A13733,1361,1401,"For as Tertullian well <CITATION> ad∣uiseth, Quaerendum est, donec inuenias, & credendum v∣bi inueneris, & nihil ampliùs, nisi custodiendum quod cre∣didisti: Thou must seeke, till thou findest; and beleeue when thou hast found: and then no more, but thou must keepe, what thou hast beleeued."
A13733,1379,704,"Fides, <CITATION> saith TERTVL∣LIAN, in regula posita est; Faith is placed vnder a rule, to wit, of Law and Gospell, that it should not de∣pend vpon Man, but vpon God; and that it should be made knowne by it owne onely principles, which are the Bookes of Canonicall Scriptures, the onely best and Authentique Iohn 5.39."
A13733,1381,156,"Whereupon <CITATION> Tertullian thus cut∣ting off all customes or prescriptions which seeme vpon pretence of antiquitie to derogate from truth, cryeth out, Exurge Veritas; Arise vp, Truth; & qua∣si de patientiâ erumpe, and breake forth out of thy pa∣tience: nullam volo consuetudinem defendas; I will not haue thee to maintaine any custome: Ipsa Scrip∣turas tuas interpretare, quas consuetudo non nouit: Doe thou interpret thy Scriptures, which custome hath not knowne: si enim nosset, nunquā esset: for if it had knowne them, it would neuer haue beene."
A13733,1405,476,"For that, saith <CITATION> TERTVLLIAN, is the Lords and true, which is first deliuered: but that is strange and false, which is afterward intruded: the third is himselfe."
