tcpID,sourceline,sourcepos,context
A12197,10539,15,"Againe, consider how God  allures those that might except a∣gainst mercy; Alas, I am laden with sinne, (will some poore soule say) why,(<CITATION>) Come unto mee all you that are heavy aden, and I will case you."
A95857,99,708,"14 28. it being a spirituall action, must have a supernaturall power, we may see it plainly in that command given to Peter upon his own motion, if it be thou, saith he to Christ, bid me come unto thee on the water; if Christ had not given out a power aswell as a command to Peter, he had sunk when he set his foot up∣on the sea, and if another had adventured (not having the like power) he could not have come, he would have miscar∣ried by the way; The great command of the Gospel is gone out from Christ into the world and it is come unto me,(<CITATION>) and the greatest part comes not; the reasō is they have not power given them to come, we must have virtue from Christ to come, as well as to be healed when we come: The dark minds of men must be enlightned to know Christ, and their rebellious wils must be conquered and mastered, or else they wil not come unto him; for all Gospel truths are more then those of the Law, above mans understanding, and contrarie to his will, and if we receive them it is given us from above, No man can come to me, saith Christ, except the Father draw him;Ioh 6.44. there is a violence offered to the corruption of the will,Psal."
A95857,102,132,"At first when we come we labour & are heavie laden, the sinner in his sinfull course hath a labour, & it will wearie him,(<CITATION>) the penitent sinner in his conversion hath a labour, and the combatant in his fight against sin hath a labour, & there is no such toil as this is, no burthen so heavie as that of sin; it causeth an universall pain, it is upon the conscience indeed, but extends to the whole man, and makes him wearie of himself;Ier."
A19265,65,416,"most carefull of their diet,(<CITATION>) and therfore he hath left their Pabulum his holy worde to the ende of the world, whereby his belo∣ued sheepe shoulde become fatte and well lyking in him, and hath to this ende com∣maunded Peter to feede,Io."
A13873,69,98,"Christ sayth,(<CITATION>) Come vnto me all yet that trauell, and are heauie laden."
A13873,88,847,(<CITATION>) Hast thou felt thy soule sick with sinne?
A10030,1905,24,"The Scriptures offer more grace, that is, the Scriptures offer grace and ability, to doe more than nature can doe; nature cannot heale a spirit, that lusteth after envy, or any other thing; a spirit that lusts after credit, af∣ter mony, after the sinne of uncleanenesse, or whatsoever is presented: now the Scriptures of∣fer that grace, that will overcome any of these sinnes, bt they never so strong, or so old; Christ healed hereditary diseases, he healed those that  were borne lame and blinde: so though thou be borne with such lusts, Christ is able to heale thee; you see a Prophet could heale Naaman of his Leprosie, when there was no other that could doe it; so saith Christ;(<CITATION>) Come unto me all yee, and I will heale you."
A07838,1976,0,"And againe, (<CITATION>) Come vnto me all yee that are wearie."
A18963,225,0,"Come vnto me all yee that are wearie and laden, (<CITATION>) and I will ease you."
A12524,1494,153,"Come let vs reason together, though your sinnes were as scarlet, &c.(<CITATION>) Come vnto mee all ye that trauaile and are heauy la∣den, &c. But for a man that is not yet truly humbled, the threats of the Law are fitter."
A00888,1104,585,"(<CITATION>) Man may liue with∣out bread, not without the word."
A00888,1517,1016,"(<CITATION>) Come to mee all that are lden, and I will giue you rest."
A09950,210,384,"But you that mourne in Sion, you that haue broken hearts, that know the bitternesse of sinne, to such as you is this Word of Saluation sent: The others haue nothing to doe with it; and let them not thinke much to be excluded; for CHRIST excludes them:(<CITATION>) Come to me all ye that are heauy laden, and ye shall finde rest: Not but the others shall haue him, if they will come, but they will not take him on the pre∣cedent conditions, named before."
A11811,1196,39,"22. that hee shall come to iudge the quicke and the deade, not that God the father and God the holy ghost shall then be excluded and not ioyned in iudgement with him, but for that the visible execution of this iudgemente shall bee doone by the se∣cond person in trynitye God the sonne, who shall then sitte one his seate of iudgemente to giue euerye man &c. Nowe hee sitteth one his seate of mer∣cy as oure mediator and aduocare ma∣king continuall intercession, to God his  Father for vs: Sitting on his seate of iudgement hee shall pronounce the sen∣tence of condemnation against vs. Now be offereth himselfe to be intertained & calleth al men to be his clientes, that are opressed with their ennemies, the world, flesh or diuell, come to me all ye that la∣bour and are laden, and I will refresh,(<CITATION>) &   giue ease to your soules."
A12386,64,1433,(<CITATION>)
A25470,1122,118,"Wee may know it by our former Convictions, and the rule is this; Whe e love to Christ is sincere,(<CITATION>) there hath been a Conviction of the souls undone condition without him, and of the sufficiency, and willingness of  Christ, to recover the soul out of that condition; And whereever this Conviction hath been fully wrought, and the wound made thereby Regularly healed, there dwells Sincere love to him."
A14199,163,479,"The Lord doth stretch out his armes all the day long, to a froward and rebellious generation:(<CITATION>) For this cause our Sauiour doth most willingly inuite vs, Come vnto me all yee that are weary and laedued with your sinnes, and I will case you."
A19625,337,447,"And, not against His will: Come (saith He) you that are heavy loden and I will refresh you,(<CITATION>) by loding my selfe; take it from your necks, and lay it on mine owne."
A19625,2775,2279,"And therefore, with CHRIST, we must not ever be dealing with Venite ad me; but sometimes too, with Manete in me;(<CITATION>) That, hath his place: Not ever with stimuli, goades to incite men to; but, otherwhile, with Clavi, neyles to fasten them in."
A19625,9300,471,"And no otherwise doth our Saviour Christ proclaime it;(<CITATION>) That none should come to him, but such as are weary and heavy laden."
A12166,1023,151,"If you pretend your unworthinesse and want of excellencies, hee takes away that objection, Come unto me all that are weary and heavy laden,(<CITATION>) Come buy without money, and here in the text, the Sonne of man shall give it, and what so free as guift?"
A12166,1204,684,"for alas, if it were offered to us upon condition of our exact performing of the Law, it might dampe the spirits of men, as indeed usually such if they be not better infor∣med, they end their daies in despaire: but be∣ing freely offered, The Publicans and Harlots (saith Christ) goe into the Kingdome of God be∣fore the proud Pharisees; because it is free, it is free to sinners that feele the burthen of their sins: Come unto mee all yee that are weary and heavie laden, &c.(<CITATION>) Blessed are the poore in spirit, for theirs is the Kingdome of Heaven.Mat."
A66362,1538,609,"2.10. for this exhortation to seek the Lord, and our Saviours invitation, to come unto him, and the like, do sufficiently evince,(<CITATION>) that in all Christians God worketh not sicut in lapidibus insensatis, as in senseless stones, or in creatures that have no reason, as Saint Augustine speaketh, but in men that have a freedom of will to follow after those things which do pertain unto salvation;Aug in Epist."
A66362,1565,416,"When we ought most especially to seek the Lord.But though we ought at all times in all places to seek the Lord, yet there are some times wherein we ought more especi∣ally and more earnestly to seek after him, than at all other times; and those are the times of troubles and adversities, when God scourgeth us for losing him:(<CITATION>) for so God biddeth us, call upon me in the time of trouble; and Christ saith, come unto me all you that travel and are heavy Laden; and so the Brethren of Joseph sought unto God in their troubles, and the Mariners that transported Jonas,Jonas 1.5, 7. though but heathens, yet will they call every man upon his God, when the Sea was ready to swallow them up;Mat."
A31997,5330,21,"It is a comfortable saying of Mr. Greenhams, When thou hearest the Promises, and art in a cold sweat, and hast a fear and trembling seizing up∣on thee; lest they should not belong to thee, doubt not, but that they doe belong to thee; For Christ hath said;(<CITATION>) Come unto mee all yee that are weary, and heavie laden, and I will give you rest."
A31997,5825,16,"Christ saith,(<CITATION>) Come unto mee all yee that labour, and are heavy laden, and I will give you rest."
