tcp_id,group,id,type,n_id,original
A19277,0,98,P,,2 Kings. 5 13
A19277,1,308,P,,Heb. 6
A19277,2,308,P,,Heb. 10
A19277,3,344,P,,1 Corinth. 3
A19277,4,0,N,0,Iohn. 7
A19277,5,0,N,0,Math. 3 1
A19277,6,0,N,0,Mar. 1 45
A19277,7,0,N,0,Act. 17 22
A19277,8,14,N,4,Rom. 2
A19277,9,14,N,5,Luke. 12
A19277,10,14,N,6,Luke. 16
A19277,11,14,N,7,Psal. 17 14
A19277,12,14,N,8,Colloss. 2
A19277,13,34,N,10,Luke. 16
A19277,14,34,N,11,Luke. 16
A19277,15,34,N,12,Esai 8 19 20
A19277,16,34,N,13,1 Cor. 11
A19277,17,34,N,14,Prou. 1 32
A19277,18,50,N,16,2 Cor. 5 2 20
A19277,19,50,N,17,Ephesi. 2
A19277,20,50,N,18,Apoc. 20 11 12 13 14 15
A19277,21,50,N,19,Titus. 2 13
A19277,22,50,N,19,Luk. 1 32
A19277,23,50,N,20,Matt. 25 31
A19277,24,50,N,21,1 Cor. 4 5
A19277,25,75,N,24,Reue. 6 12
A19277,26,75,N,25,Esa. 2 19
A19277,27,75,N,25,Hos. 10 8
A19277,28,75,N,25,Luk 23 30
A19277,29,75,N,26,Psal. 50 22
A19277,30,75,N,27,2 Pet. 3 11
A19277,31,75,N,28,Luk. 21 28
A19277,32,75,N,29,Math. 12 36
A19277,33,75,N,30,Ezech. 18
A19277,34,75,N,30,Heb. 6
A19277,35,75,N,31,Psal. 139 16
A19277,36,87,N,32,Apoc. 20
A19277,37,87,N,33,Gal. 6 7
A19277,38,87,N,34,Amos. 6 3
A19277,39,87,N,35,Io. 8
A19277,40,87,N,36,2 King. 5 13
A19277,41,102,N,37,Ephe. 1 2
A19277,42,102,N,38,Ephe. 1 2
A19277,43,102,N,39,2 Tim. 2 19
A19277,44,102,N,44,Rom. 8 28
A19277,45,102,N,45,2 Cor. 5 10
A19277,46,102,N,46,Ephe. 2 4
A19277,47,102,N,47,Rom. 6 4
A19277,48,102,N,48,Rom. 6
A19277,49,102,N,49,1 Tim. 5 6
A19277,50,102,N,50,Matth. 8 22
A19277,51,102,N,51,Eccle. 9 4 5 6
A19277,52,102,N,52,Ion. 8 34
A19277,53,102,N,52,Rom. 6 20
A19277,54,102,N,52,2 Pet. 2 19
A19277,55,102,N,53,Matt. 13 14
A19277,56,102,N,54,Ephe. 41 8
A19277,57,102,N,55,Colos. 2 12
A19277,58,102,N,56,2 Tim. 2 26
A19277,59,102,N,57,Luk. 11 29
A19277,60,102,N,57,Math. 12 29
A19277,61,102,N,57,Mark. 3 22
A19277,62,102,N,58,Rom. 3 11
A19277,63,102,N,59,Rom. 6 4
A19277,64,102,N,60,Ephes. 4 22
A19277,65,102,N,61,Hos. 3
A19277,66,102,N,64,Colos. 1 13
A19277,67,102,N,65,Tit. 2 11
A19277,68,102,N,66,Gal. 6 7
A19277,69,175,N,67,Apoca. 3 1
A19277,70,175,N,68,Hose. 4 2 2 3
A19277,71,175,N,69,Esa. 1 53 6
A19277,72,175,N,69,Rom. 2 2
A19277,73,175,N,72,Esa. 26 20
A19277,74,175,N,73,Iere. 20 1
A19277,75,175,N,74,Ier. 26 16
A19277,76,175,N,75,Ezec. 33 30
A19277,77,175,N,78,Esa. 53 1
A19277,78,175,N,80,Iere. 8 6
A19277,79,236,N,82,Heb. 9 27
A19277,80,236,N,82,Apoc. 14 13
A19277,81,249,N,83,Matt. 10 28
A19277,82,249,N,84,Iam. 5 1
A19277,83,249,N,84,Rom. 2 5
A19277,84,249,N,85,Apoc. 21 8
A19277,85,249,N,86,Eccle. 12 1
A19277,86,249,N,87,Rom. 2 6
A19277,87,249,N,88,Io. 1
