tcpID,only_chapter,verse,corrupted_book,corrupted_ch_only,corrupted_v_only,all_corrupt,corrupt_ratio,total
A07229,0,0,0,3,0,0,1.0,3
A29242,0,0,0,2,0,0,1.0,2
A07572,1,0,0,4,0,0,0.8,5
A07260,1,0,0,1,0,0,0.5,2
A02242,16,1,3,11,1,0,0.46875,32
A05143,237,21,0,140,14,3,0.3783132530120482,415
A27394,1,10,0,5,1,0,0.35294117647058826,17
A00726,2,0,0,1,0,0,0.3333333333333333,3
A05535,2,0,0,1,0,0,0.3333333333333333,3
A51812,0,2,1,0,0,0,0.3333333333333333,3
B00422,10,42,0,10,13,0,0.30666666666666664,75
A04085,4,15,0,1,4,3,0.2962962962962963,27
A13414,10,7,0,7,0,0,0.2916666666666667,24
A17338,3,19,0,5,3,0,0.26666666666666666,30
A35003,10,12,0,8,0,0,0.26666666666666666,30
A06329,78,2,1,27,0,0,0.25925925925925924,108
A09745,10,125,3,13,22,8,0.2541436464088398,181
A60348,14,25,0,7,6,0,0.25,52
A00769,15,0,2,3,0,0,0.25,20
A00776,38,0,2,10,0,0,0.24,50
A56456,0,10,0,2,1,0,0.23076923076923078,13
B28834,12,215,20,3,44,0,0.22789115646258504,294
A09838,33,5,2,8,1,0,0.22448979591836735,49
B22963,4,109,12,2,18,0,0.2206896551724138,145
A07819,5,15,1,0,2,2,0.2,25
A19735,19,1,0,5,0,0,0.2,25
B03143,2,6,0,1,1,0,0.2,10
A06734,0,4,0,1,0,0,0.2,5
A12763,0,4,0,0,0,1,0.2,5
A53329,0,4,1,0,0,0,0.2,5
A61625,0,4,1,0,0,0,0.2,5
A17705,488,370,34,80,95,5,0.19962686567164178,1072
A16091,129,2,3,29,0,0,0.19631901840490798,163
A00687,73,3,1,16,1,0,0.19148936170212766,94
A52048,10,14,4,0,1,0,0.1724137931034483,29
A20684,39,25,2,7,3,1,0.16883116883116883,77
B11791,53,4,3,7,1,0,0.16176470588235295,68
A15453,13,55,2,3,6,2,0.16049382716049382,81
A09488,12,70,1,2,5,7,0.15463917525773196,97
A17725,13,20,3,1,2,0,0.15384615384615385,39
A07526,3,8,1,0,1,0,0.15384615384615385,13
A05479,52,434,0,10,56,20,0.15034965034965034,572
A47437,97,330,3,5,55,12,0.14940239043824702,502
A07838,45,183,1,10,27,2,0.14925373134328357,268
A30811,7,22,2,0,2,1,0.14705882352941177,34
A87089,3,38,2,0,5,0,0.14583333333333334,48
A20276,44,4,0,5,3,0,0.14285714285714285,56
A60155,11,37,2,0,6,0,0.14285714285714285,56
A08443,29,1,0,5,0,0,0.14285714285714285,35
A61604,1,17,0,0,3,0,0.14285714285714285,21
A31344,2,10,1,1,0,0,0.14285714285714285,14
A63917,5,7,0,1,1,0,0.14285714285714285,14
A94349,3,9,0,0,2,0,0.14285714285714285,14
A30438,1,5,0,0,1,0,0.14285714285714285,7
A13578,13,122,13,0,9,0,0.14012738853503184,157
A70248,10,33,1,3,3,0,0.14,50
A01347,11,26,1,0,5,0,0.13953488372093023,43
A90603,12,44,3,3,3,0,0.13846153846153847,65
B01083,100,6,0,16,1,0,0.13821138211382114,123
A17223,88,25,2,2,14,0,0.13740458015267176,131
A03909,147,7,8,16,0,0,0.1348314606741573,178
A61614,2,37,0,3,2,1,0.13333333333333333,45
A54805,5,15,0,0,3,0,0.13043478260869565,23
A89004,3,17,0,3,0,0,0.13043478260869565,23
B07428,17,117,0,5,14,1,0.12987012987012986,154
A01077,12,57,0,3,7,0,0.12658227848101267,79
A33648,6,105,0,6,10,0,0.12598425196850394,127
A17698,219,2847,52,97,217,75,0.12574850299401197,3507
A14197,12,170,2,1,19,4,0.125,208
A08819,2,5,1,0,0,0,0.125,8
A61272,5,2,0,1,0,0,0.125,8
A16985,64,22,0,6,5,1,0.12244897959183673,98
A17694,8,43,2,2,3,0,0.1206896551724138,58
A71022,26,25,0,7,0,0,0.1206896551724138,58
A59557,3,19,3,0,0,0,0.12,25
A03128,48,416,7,6,39,10,0.11787072243346007,526
A85659,10,246,4,1,23,6,0.11724137931034483,290
A87607,15,204,0,5,18,6,0.11693548387096774,248
A67564,3,20,1,0,2,0,0.11538461538461539,26
A01136,86,7,0,8,4,0,0.11428571428571428,105
A89018,6,72,0,1,9,0,0.11363636363636363,88
A29110,9,46,0,0,4,3,0.11290322580645161,62
A10562,11,21,1,0,3,0,0.1111111111111111,36
A43137,3,29,1,1,2,0,0.1111111111111111,36
A01765,7,1,0,1,0,0,0.1111111111111111,9
A55348,1,7,0,0,1,0,0.1111111111111111,9
A55641,0,8,0,0,1,0,0.1111111111111111,9
A64131,0,8,0,0,1,0,0.1111111111111111,9
A41838,18,233,0,7,23,1,0.1099290780141844,282
A96869,1,40,0,1,3,1,0.10869565217391304,46
B11963,103,29,3,8,5,0,0.10810810810810811,148
A04845,74,1,0,9,0,0,0.10714285714285714,84
A04165,4,98,1,2,7,2,0.10526315789473684,114
A17146,18,84,2,2,8,0,0.10526315789473684,114
A92843,6,97,2,1,5,4,0.10434782608695652,115
A05282,30,349,12,5,24,3,0.10401891252955082,423
A94068,12,100,3,2,7,1,0.104,125
A86434,17,78,2,2,7,0,0.10377358490566038,106
A68970,68,10,0,7,2,0,0.10344827586206896,87
A17079,3,94,0,0,11,0,0.10185185185185185,108
A61247,1,8,0,0,1,0,0.1,10
A57327,4,87,2,0,8,0,0.09900990099009901,101
A03309,18,319,0,1,27,9,0.09893048128342247,374
A22722,163,1,0,18,0,0,0.0989010989010989,182
A33664,11,81,2,2,6,0,0.09803921568627451,102
A06460,28,0,0,3,0,0,0.0967741935483871,31
A20650,5,23,0,0,3,0,0.0967741935483871,31
A14813,89,14,2,9,0,0,0.09649122807017543,114
A17331,44,174,5,3,14,1,0.0954356846473029,241
A15462,7,31,0,1,2,1,0.09523809523809523,42
A40758,2,17,0,1,0,1,0.09523809523809523,21
A67212,5,14,0,1,1,0,0.09523809523809523,21
A03311,22,154,3,3,9,3,0.09278350515463918,194
A00003,32,56,0,5,3,1,0.09278350515463918,97
A19564,81,7,2,3,4,0,0.09278350515463918,97
A63260,12,76,0,0,9,0,0.09278350515463918,97
A09999,49,88,0,7,6,1,0.09271523178807947,151
A08442,67,2,0,7,0,0,0.09210526315789473,76
A44142,7,33,0,0,4,0,0.09090909090909091,44
A04924,20,0,0,2,0,0,0.09090909090909091,22
A35074,2,18,0,0,2,0,0.09090909090909091,22
A16834,523,22,7,44,2,1,0.09015025041736227,599
A04028,3,58,0,0,6,0,0.08955223880597014,67
A09744,34,266,0,2,22,5,0.08814589665653495,329
A02785,59,130,0,6,12,0,0.08695652173913043,207
