tcp_id,c_id,c_group,citation
A19277,0,0,2 Kings 5.13
A19277,1,1,Hebrews 6
A19277,2,2,Hebrews 10
A19277,3,3,1 Corinthians 3
A19277,4,4,John 7
A19277,5,5,Matthew 3.1
A19277,6,6,Mark 1.45
A19277,7,7,Acts 17.22
A19277,8,8,Romans 2
A19277,9,9,Luke 12
A19277,10,10,Luke 16
A19277,11,11,Psalms 17.14
A19277,12,12,Colossians 2
A19277,13,13,Luke 16
A19277,14,14,Luke 16
A19277,15,15,Isaiah 8.19
A19277,16,15,Isaiah 8.20
A19277,17,16,1 Corinthians 11
A19277,18,17,Proverbs 1.32
A19277,19,18,2 Corinthians 5.2
A19277,20,18,2 Corinthians 5.20
A19277,21,19,Ephesians 2
A19277,22,20,Revelation 20.11
A19277,23,20,Revelation 20.12
A19277,24,20,Revelation 20.13
A19277,25,20,Revelation 20.14
A19277,26,21,Titus 2.13
A19277,27,22,Luke 1.32
A19277,28,23,Matthew 25.31
A19277,29,24,1 Corinthians 4.5
A19277,30,25,Revelation 6.12
A19277,31,26,Isaiah 2.19
A19277,32,27,Hosea 10.8
A19277,33,28,Luke 23.30
A19277,34,29,Psalms 50.22
A19277,35,30,2 Peter 3.11
A19277,36,31,Luke 21.28
A19277,37,32,Matthew 12.36
A19277,38,33,Ezekiel 18
A19277,39,34,Hebrews 6
A19277,40,35,Psalms 139.16
A19277,41,36,Revelation 20
A19277,42,37,Galatians 6.7
A19277,43,38,Amos 6.3
A19277,44,39,Job 8
A19277,45,40,2 Kings 5.13
A19277,46,41,Ephesians 1.2
A19277,47,42,Ephesians 1.2
A19277,48,43,2 Timothy 2.19
A19277,49,44,Romans 8.28
A19277,50,45,2 Corinthians 5.10
A19277,51,46,Ephesians 2.4
A19277,52,47,Romans 6.4
A19277,53,48,Romans 6
A19277,54,49,1 Timothy 5.6
A19277,55,50,Matthew 8.22
A19277,56,51,Ecclesiastes 9.4
A19277,57,51,Ecclesiastes 5.6
A19277,58,52,Jonah 8.34
A19277,59,53,Romans 6.20
A19277,60,54,2 Peter 2.19
A19277,61,55,Matthew 13.14
A19277,62,56,Ephesians 41.8
A19277,63,57,Colossians 2.12
A19277,64,58,2 Timothy 2.26
A19277,65,59,Luke 11.29
A19277,66,60,Matthew 12.29
A19277,67,61,Mark 3.22
A19277,68,62,Romans 3.11
A19277,69,63,Romans 6.4
A19277,70,64,Ephesians 4.22
A19277,71,65,Hosea 3
A19277,72,66,Colossians 1.13
A19277,73,67,Titus 2.11
A19277,74,68,Galatians 6.7
A19277,75,69,Revelation 3.1
A19277,76,70,Hosea 4.2
A19277,77,70,Hosea 2.3
A19277,78,71,Isaiah 1.53
A19277,79,71,Isaiah 1.6
A19277,80,72,Romans 2.2
A19277,81,73,Isaiah 26.20
A19277,82,74,Jeremiah 20.1
A19277,83,75,Jeremiah 26.16
A19277,84,76,Ezekiel 33.30
A19277,85,77,Isaiah 53.1
A19277,86,78,Jeremiah 8.6
A19277,87,79,Hebrews 9.27
A19277,88,80,Revelation 14.13
A19277,89,81,Matthew 10.28
A19277,90,82,James 5.1
A19277,91,83,Romans 2.5
A19277,92,84,Revelation 21.8
A19277,93,85,Ecclesiastes 12.1
A19277,94,86,Romans 2.6
A19277,95,87,Job 1
A19277,96,88,1 Thessalonians 4.5
A19277,97,89,1 Corinthians 1.10
A19277,98,90,Psalms 111.10
A19277,99,91,Psalms 2.10
A19277,100,91,Psalms 2.11
A19277,101,92,1 Peter 2.17
A19277,102,93,Psalms 58.9
A19277,103,94,Psalms 112
A19277,104,95,Psalms 118
A19277,105,96,Job 5.24
A19277,106,97,Matthew 6
A19277,107,98,Romans 8
A19277,108,99,Romans 5
A19277,109,100,Matthew 10.38
A19277,110,101,Mark 8.35
A19277,111,102,Luke 9.23
A19277,112,103,Job 12.2
A19277,113,104,Revelation 18
A19277,114,105,Job 3.15
A19277,115,106,Psalms 120.3
A19277,116,106,Psalms 120.4
A19277,117,107,Luke 16
A19277,118,108,Luke 17.10
A19277,119,109,Job 2.3
A19277,120,109,Job 2.4
A19277,121,110,Luke 2
A19277,122,111,Romans 7.24
A19277,123,112,Job 1.8
A19277,124,113,Romans 7.23
A19277,125,114,Psalms 130.3
A19277,126,115,Zechariah 9.11
A19277,127,116,Matthew 5.26
A19277,128,117,1 Kings 18.27
A19277,129,118,1 Peter 2.1
A19277,130,118,1 Peter 2.3
A19277,131,119,Revelation 12.16
A19277,132,119,Revelation 12.17
A19277,133,120,Micah 1
A19277,134,121,Psalms 39.13
A19277,135,122,Matthew 25
A19277,136,123,Matthew 5.16
A19277,137,124,1 Timothy 5.24
A19277,138,125,Matthew 25.13
A19277,139,126,Galatians 6.6
A19277,140,127,Job 5.28
A19277,141,128,2 Corinthians 5.10
A19277,142,129,Hebrews 9
A19277,143,130,Psalms 32.1
A19277,144,130,Psalms 32.2
A19277,145,131,Romans 4.7
A19277,146,131,Romans 4.8
A19277,147,132,Psalms 14.1
A19277,148,133,Romans 3.23
A19277,149,134,Daniel 9.5
A19277,150,135,Isaiah 30.22
A19277,151,136,Revelation 7.14
A19277,152,137,2 Peter 1.9*
A19277,153,138,Hebrews 12.1
A19277,154,139,Romans 5.8
A19277,155,139,Romans 9.10
A19277,156,140,1 Peter 3.18
A19277,157,141,1 Peter 2.24
A19277,158,142,1 Peter 2.24
A19277,159,143,Matthew 3.17
A19277,160,144,1 Peter 1.17
A19277,161,145,Matthew 20
A19277,162,146,Colossians 2.14
A19277,163,146,Colossians 2.15
A19277,164,147,Ezekiel 18
A19277,165,148,Job 6
A19277,166,149,Job 5.24
A19277,167,150,Psalms 32.1
A19277,168,150,Psalms 32.2
A19277,169,151,Revelation 7.12
A19277,170,152,Hebrews 12.22
