tcpID,only_chapter,verse,corrupted_book,corrupted_ch_only,corrupted_v_only,all_corrupt,corrupt_ratio,total
A68244,0,0,2,2,2,0,1.0,6
A81210,0,0,0,1,0,0,1.0,1
A51812,0,0,1,0,0,0,1.0,1
A12705,0,0,0,1,0,0,1.0,1
A38685,0,0,0,0,1,0,1.0,1
A62603,0,0,0,0,1,0,1.0,1
A53273,0,0,0,1,0,0,1.0,1
A18049,0,0,1,0,0,0,1.0,1
A36880,0,0,0,1,0,0,1.0,1
A26065,0,0,1,0,0,0,1.0,1
A27394,1,1,0,5,1,0,0.75,8
A50232,0,1,0,2,1,0,0.75,4
A58858,1,1,0,0,2,1,0.6,5
B00422,7,11,0,9,15,1,0.5813953488372093,43
A96652,1,1,0,2,0,0,0.5,4
A67616,0,1,0,1,0,0,0.5,2
A13629,0,1,0,1,0,0,0.5,2
A16698,1,0,0,1,0,0,0.5,2
A02242,18,0,3,11,0,0,0.4375,32
A02461,7,4,0,8,0,0,0.42105263157894735,19
A10353,89,358,48,60,138,75,0.41796875,768
B22963,1,47,13,2,19,0,0.4146341463414634,82
A04214,49,99,10,64,27,1,0.408,250
A21042,2,1,0,2,0,0,0.4,5
A61865,1,2,2,0,0,0,0.4,5
A77374,2,1,1,0,1,0,0.4,5
A01331,5,6,0,0,6,1,0.3888888888888889,18
A04085,1,12,0,1,4,3,0.38095238095238093,21
A05143,194,7,19,75,7,1,0.33663366336633666,303
A15453,4,20,2,2,4,4,0.3333333333333333,36
A00769,16,0,4,4,0,0,0.3333333333333333,24
A06060,1,3,0,1,1,0,0.3333333333333333,6
B26659,0,4,0,1,1,0,0.3333333333333333,6
A63877,0,2,0,0,1,0,0.3333333333333333,3
A32083,0,2,0,0,1,0,0.3333333333333333,3
A64834,2,0,0,1,0,0,0.3333333333333333,3
A46722,0,2,0,1,0,0,0.3333333333333333,3
A07260,2,0,0,1,0,0,0.3333333333333333,3
A06734,0,2,0,1,0,0,0.3333333333333333,3
A04482,2,0,0,1,0,0,0.3333333333333333,3
A17050,1,1,0,1,0,0,0.3333333333333333,3
A11918,0,2,0,0,1,0,0.3333333333333333,3
A48315,0,2,0,1,0,0,0.3333333333333333,3
A17338,4,15,0,4,5,0,0.32142857142857145,28
A52048,4,5,4,0,0,0,0.3076923076923077,13
A95973,1,15,0,1,6,0,0.30434782608695654,23
A14664,11,65,5,13,14,1,0.30275229357798167,109
A16366,69,4,5,26,0,0,0.2980769230769231,104
A86138,0,5,0,0,2,0,0.2857142857142857,7
A80080,3,2,0,2,0,0,0.2857142857142857,7
A04924,38,6,3,9,4,1,0.2786885245901639,61
A79477,8,18,0,3,7,0,0.2777777777777778,36
A10341,6,7,0,5,0,0,0.2777777777777778,18
A15556,19,0,2,5,0,0,0.2692307692307692,26
A06329,76,1,1,27,0,0,0.26666666666666666,105
A15462,10,10,0,2,3,2,0.25925925925925924,27
A47416,6,20,0,8,1,0,0.2571428571428571,35
A08528,26,0,0,9,0,0,0.2571428571428571,35
B26664,6,23,0,3,7,0,0.2564102564102564,39
A45206,2,27,1,0,6,3,0.2564102564102564,39
A96519,1,8,0,3,0,0,0.25,12
A07526,2,7,1,1,1,0,0.25,12
A57651,1,5,0,2,0,0,0.25,8
A49256,3,3,0,0,2,0,0.25,8
A49258,1,5,0,2,0,0,0.25,8
A15131,3,0,0,1,0,0,0.25,4
A60177,0,3,0,1,0,0,0.25,4
A31975,0,3,0,0,1,0,0.25,4
A50229,1,2,0,1,0,0,0.25,4
A02186,58,270,6,17,48,34,0.24249422632794457,433
