tcpID,only_chapter,verse,corrupted_book,corrupted_ch_only,corrupted_v_only,all_corrupt,corrupt_ratio,total
A07229,1,0,0,3,0,0,0.75,4
A00393,1,0,0,1,0,0,0.5,2
A07260,1,0,0,1,0,0,0.5,2
A05143,250,16,0,225,0,23,0.48249027237354086,514
A07572,8,0,0,7,0,0,0.4666666666666667,15
A02242,18,1,3,11,0,1,0.4411764705882353,34
A04085,5,15,0,1,0,7,0.2857142857142857,28
A06329,78,3,1,27,0,0,0.25688073394495414,109
A09745,26,128,1,18,0,34,0.2560386473429952,207
A00776,42,0,2,10,0,0,0.2222222222222222,54
A09838,33,7,2,7,0,1,0.2,50
A00726,4,0,0,1,0,0,0.2,5
A05535,3,1,0,1,0,0,0.2,5
A00687,71,5,1,16,0,1,0.19148936170212766,94
A00769,18,0,1,3,0,0,0.18181818181818182,22
A01765,10,1,0,2,0,0,0.15384615384615385,13
A07838,46,184,1,10,0,30,0.15129151291512916,271
A06734,1,5,0,1,0,0,0.14285714285714285,7
A05479,58,438,0,13,0,69,0.14186851211072665,578
A08443,30,1,0,5,0,0,0.1388888888888889,36
A07819,13,19,0,0,0,5,0.13513513513513514,37
A03909,143,13,8,16,0,0,0.13333333333333333,180
A09488,14,68,1,4,0,7,0.1276595744680851,94
A07526,5,9,1,0,0,1,0.125,16
A04924,22,0,0,3,0,0,0.12,25
A09999,56,91,0,11,0,9,0.11976047904191617,167
A01077,13,58,0,2,0,7,0.1125,80
A01347,19,29,1,0,0,5,0.1111111111111111,54
A04165,6,100,1,2,0,10,0.1092436974789916,119
A03128,48,393,2,10,0,42,0.10909090909090909,495
A01136,83,16,0,8,0,4,0.10810810810810811,111
A09744,48,281,0,9,0,28,0.10109289617486339,366
A03309,21,317,0,4,0,34,0.10106382978723404,376
A08819,1,8,1,0,0,0,0.1,10
A02054,21,62,6,2,0,1,0.09782608695652174,92
A03311,26,156,3,4,0,12,0.0945273631840796,201
A06460,28,1,0,3,0,0,0.09375,32
A00003,28,62,0,5,0,4,0.09090909090909091,99
A05282,33,342,4,5,0,28,0.08980582524271845,412
A03614,25,48,1,4,0,2,0.0875,80
A04028,4,59,0,0,0,6,0.08695652173913043,69
A08442,69,6,0,7,0,0,0.08536585365853659,82
A09813,8,35,0,3,0,1,0.0851063829787234,47
A02785,58,136,0,7,0,11,0.08490566037735849,212
A06525,4,115,1,1,0,9,0.08461538461538462,130
A04978,12,22,1,1,0,1,0.08108108108108109,37
A04845,75,6,0,7,0,0,0.07954545454545454,88
A06004,7,63,1,1,0,4,0.07894736842105263,76
A05141,11,1,0,0,0,1,0.07692307692307693,13
