tcpID,only_chapter,verse,corrupted_book,corrupted_ch_only,corrupted_v_only,all_corrupt,corrupt_ratio,total
B00422,12,46,0,10,0,13,0.2839506172839506,81
B22963,7,110,12,3,0,17,0.21476510067114093,149
B28834,13,219,17,3,0,43,0.2135593220338983,295
B03143,2,7,0,1,0,1,0.18181818181818182,11
B11791,50,8,3,7,0,1,0.15942028985507245,69
B01083,101,6,0,16,0,1,0.13709677419354838,124
B07428,16,122,0,3,0,15,0.11538461538461539,156
B11963,83,36,1,7,0,7,0.11194029850746269,134
B10277,8,1,0,1,0,0,0.1,10
B14673,19,82,1,0,0,8,0.08181818181818182,110
B13601,33,486,2,5,0,37,0.07815275310834814,563
B04652,11,70,0,0,0,6,0.06896551724137931,87
B14421,11,16,1,0,0,1,0.06896551724137931,29
B03494,57,338,0,13,0,14,0.06398104265402843,422
B15499,9,36,0,1,0,2,0.0625,48
B03629,8,7,0,0,0,1,0.0625,16
B17254,5,10,0,0,0,1,0.0625,16
B03760,9,69,0,4,0,1,0.060240963855421686,83
B21346,2,14,0,0,0,1,0.058823529411764705,17
B00218,18,114,0,2,0,6,0.05714285714285714,140
B25291,4,13,0,0,0,1,0.05555555555555555,18
B26345,17,0,1,0,0,0,0.05555555555555555,18
B12340,18,148,0,2,0,7,0.05142857142857143,175
B01041,112,6,0,6,0,0,0.04838709677419355,124
B26664,27,343,2,4,0,12,0.04639175257731959,388
B26659,1,42,0,0,0,2,0.044444444444444446,45
B13694,23,1,1,0,0,0,0.04,25
B03145,10,63,0,2,0,1,0.039473684210526314,76
B15049,18,56,0,1,0,2,0.03896103896103896,77
B23303,2,23,1,0,0,0,0.038461538461538464,26
B04185,77,666,0,11,0,17,0.03631647211413749,771
B11962,371,109,3,11,0,4,0.03614457831325301,498
B02982,6,74,0,1,0,2,0.03614457831325301,83
B02801,9,19,0,1,0,0,0.034482758620689655,29
B10212,44,69,0,4,0,0,0.03418803418803419,117
B13585,65,311,2,1,0,10,0.033419023136246784,389
B24300,8,172,0,0,0,6,0.03225806451612903,186
