id,estc,stc,title,authors,publisher,pubplace,subject_headings,date
B02730,R176897,D1782E,"An extempore sermon, preached upon malt, by a way of caution to good fellows; at the request of two schollars, / by a lover of ale, out of a hallow [sic] tree.","Lover of ale.; Dod, John, 1549?-1645.",s n,No pubplace,Temperance; Great Britain; Early works to 1800.; Alcoholism; Great Britain; Early works to 1800.; Broadsides; England; 17th century.; Broadsides; Scotland; 17th century.,1691
B03275,R36181,E477,"An elegy upon the death of two eminent ministers of the Gospel Mr. Pledger and Mr. Wells. Who both departed this life on the Lords day June the 18th. 1676. The first of them having preached twice, and administred the Lords Supper the very day of his dissolution.",Anonymous,Printed for B H,London,"Pledger, Elias, d. 1676; Poetry; Early works to 1800.; Wells, John, 1623-1676; Poetry; Early works to 1800.; Elegiac poetry, English; 17th century.",1676
B01848,R170915,B5773,"The declaration of almighty God, in some few texts of scripture, recommended to the reverend conforming divines: / by G.B. B. of S----b---y ... being the publick fast appointed to implore God's assistance for the reduction of Ireland, and the overthrow of the late King James, and his rebellious forces.","Burnet, Gilbert, 1643-1715.",s n,London,"Sermons, English; 17th century.; Fast-day sermons; Early works to 1800.; Broadsides; England; 17th century.",1690
A92746,R229814,S2075,"A sermon preached at the funeral of the Lady Newland. At Alhallows Barkin, London By John Scott, D.D.","Scott, John, 1639-1695.",s n,London,"Newland,; Lady, d. 1690; Early works to 1800.; Bible.; N.T.; Hebrews XIII, 4; Sermons; Early works to 1800.; Funeral sermons; 17th century.; Sermons, English; 17th century.",1690
A90268,R206508,O757,"God's presence with a people, the spring of their prosperity; with their speciall interest in abiding with Him. A sermon, preached to the Parliament of the Commonwealth of England, Scotland, and Ireland, at Westminster, Octob. 30. 1656. A day of solemn humiliation. / By John Owen, D.D. a servant of Jesus Christ, in the work of the Gospel. Printed by Order of Parliament.","Owen, John, 1616-1683.",Printed by R N for Philemon Stephens at the gilded Lion in Pauls Church yard,London,"Bible.; O.T.; Chronicles, 2nd XV, 2; Sermons.; Sermons, English; 17th century.",1656
A90544,R208056,P1717,A sermon by Hugh Peters: preached before his death: as it was taken by a faithful hand. And now published for publick information. Entred according to order.,"Peters, Hugh, 1598-1660.",printed by John Best in Guiltspur street without Newgate,London,"Sermons, English; 17th century.",1660
A95605,R207617,T582,"Some prison meditations in the 7th moneth, 1657. Being a free-gift sermon mainly touching the religious robbers, or spiritual murtherers, the sermon and prayer-sellers of the the former, later and present times; even to the whole company of mystery-Babylons merchants and members a warning.","Taylor, Thomas, 1618-1682.",printed for Giles Calvert at the Black spread eagle neer the west end of Pauls,London,"Society of Friends; Apologetic works; Early works to 1800.; Sermons, English; 17th century.; Prisoners' writings, English; Early works to 1800.",1657
A96106,R230810,W1137,"A plea for almes delivered in a sermon at the spital, before a solemn assembly of the city, on Tuesday in Easter week, April. 13. 1658. / By Thomas Watson Minister of Stephens Walbrook. Lond.","Watson, Thomas, d. 1686.",Printed for Thomas Parkhurst at the three Crowns over against the great Conduit at the lower end of Cheap side,London,"Sermons, English; 17th century.; Charity; Sermons; Early works to 1800.",1658
A94735,R20645,T1808,"Fermentvm Pharisæorvm, or, The leaven of pharisaicall wil-worship: declared in a sermon on Matth. 15.9 Novemb. 24. 1641. at Lemster in Herefordshire. / By Iohn Tombes,  B.D.","Tombes, John, 1603?-1676.; England and Wales. Parliament. House of Commons.",Printed by Richard Cotes for Andrew Crooke and are to be sold at his shop at the signe of the Greene Dragon in Pauls Church yard,London,"Bible.; N.T.; Matthew XV, 9; Sermons; Early works to 1800.",1643
A97002,R203995,W385,"A sermon, preached in the Kings Chappell at VVhite-Hall, on Sunday last July 15. 1649. By Henry Walker cleric. author of the Perfect occurrences.","Walker, Henry, Ironmonger.",s n,London,"Sermons, English; 17th century.",1649
A96098,R207285,W1120,"The crown of righteousness. Set forth in a sermon preached at Stephens Walbrook, May 1. 1656. At the funeral of Thomas Hodges Esquire. / By Thomas Watson, minister of Stephens Walbrook, in the citie of London.","Watson, Thomas, d. 1686.",Printed for Joseph Crawford at the signe of the Kings Head in Pauls Church yard,London,"Hodges, Thomas, d. 1656; Early works to 1800.; Bible.; N.T.; Timothy, 2nd IV, 8; Sermons.; Sermons, English; 17th century.; Funeral sermons; Early works to 1800.",1656
A97126,R200163,W774,"The good-vvill of Him that dwelt in the bush: or, The extraordinary happinesse of living under an extraordinary providence. A sermon preached before the Right Honourable, the House of Lords, in the Abbey Church at Westminster, on Tuesday, Iuly 22. 1645. At their publike thanksgiving for the good successe given to the Parliaments forces, under the command of Sir Thomas Fairfax in the west. /","Ward, John, d. 1665.",Printed by G M for Christopher Meredith at the signe of the Crane in Pauls Church yard,London,"Bible.; O.T.; Deuteronomy XXXIII, 16; Sermons.; Sermons, English; 17th century.; Great Britain; History; Civil War, 1642-1649; Sermons; Early works to 1800.",1645
A92076,R232140,R2227,"A sermon preached before His Grace the Kings Commissioner, at the three estates of Parliament, May the 25th, 1690 By Gilbert Rule minister of the Gospel at Edinburgh.","Rule, Gilbert, 1629?-1701.",printed at the Society of Stationers printing house in Harts Close over against the Trone Church for George Mosman bookseller at his shop on the south side of the Parliament Close,Edinburgh,"England and Wales.; Parliament; Early works to 1800.; Sermons, English; 17th century.",1690
A93880,R204205,S5486,"The teachings of Christ in the soule. Opened in a sermon before the Right Honble House of Peers, in Covent-garden-Church, upon the solemne day of their monthly fast, March 29. 1648. / By Peter Sterry, M.A. sometimes fellow of Emanuel Colledge in Cambridge: and now preacher of the Gospel in London. Published by order of that House.","Sterry, Peter, 1613-1672.",Printed for R Dawlman and are to be sold at the Signe of the Crowne and Bible at Dowgate neer Canning street,London,"Jesus Christ; Royal office; Sermons; Early works to 1800.; Bible.; N.T.; Matthew XXIII, 10; Sermons; Early works to 1800.; Sermons, English; 17th century.; Fast-day sermons; 17th century.",1648
A90266,R203085,O742,"Eben-ezer a memoriall of the deliverance of Essex, county, and committee, being an exposition on the first ten verses of the third chapter of the prophesie of Habakkuk in two sermons. The first preached at Colchester before his Excellency on a day of thanksgiving for the surrender thereof. The other at Rumford unto the committee who were imprisoned by the enemy Sep. 28. a day set apart unto thanksgiving for their deliverance. / By John Ovven pastor of the church of God which is at Coggeshall.","Owen, John, 1616-1683.",Printed by W Wilson for the authour,London,"Bible.; O.T.; Habakkuk III, 1-10; Sermons; Early works to 1800.; Sermons, English; 17th century.; Colchester (England); History; Siege, 1648; Sermons; Early works to 1800.",1648
A91743,R203409,R1261,"Joy in the Lord opened in a sermon preached at Pauls, May 6. / By Edward Reynolds, D.D.","Reynolds, Edward, 1599-1676.",Printed by Tho Newcomb for Robert Bostock and are to be sold at his shop at the sign of the Kings Head in St Pauls Church yard,London,"Joy; Religious aspects; Christianity; Sermons; Early works to 1800.; Sermons, English; 17th century.",1655
A90291,R203108,O808,"The stedfastness of promises, and the sinfulness of staggering: opened in a sermon preached at Margarets in Westminster before the Parliament Febr. 28. 1649. Being a day set apart for solemn humiliation throughout the nation. By John Owen minister of the Gospel.","Owen, John, 1616-1683.",Printed by Peter Cole and are to be sold at his shop at the sign of the Printing Press in Cornhil neer the Royal Exchange,London,"Sermons, English; 17th century.; Fast-day sermons; 17th century.",1650
A96415,R206427,W1999,"The light appearing more and more towards the perfect day. Or, a farther discovery of the present state of the Indians in New-England, concerning the progresse of the Gospel amongst them. Manifested by letters from such as preacht to them there. / Published by Henry Whitfeld, late pastor to the Chuch [sic] of Christ at Gilford in New-England, who came late thence.","Whitfield, Henry, 1597-1660?; Eliot, John, 1604-1690.; Mayhew, Thomas, fl. 1651.",Printed by T R E M for John Bartlet and are to be sold at the Gilt Cup neer St Austins gate in Pauls Church yard,London,Indians of North America; Massachusetts; Early works to 1800.; Massachuset Indians; Missions; Early works to 1800.; Wampanoag Indians; Missions; Early works to 1800.,1651
